,director,Number_MoviesShows_dir,dir_average_score
768,"Elan Dassani, Rajeev Dassani",1,48.0
769,Eli Roth,1,51.0
770,Elia K. Schneider,1,23.0
771,Elio Petri,1,43.0
772,Elisa Fuksas,1,13.0
773,Elissa Down,1,62.0
774,Elite Zexer,1,70.0
775,Elizabeth Allen,1,66.0
776,"Elizabeth Rohrbaugh, Daniel Powell",1,49.0
777,"Elizabeth Vasarhelyi, Jimmy Chin",1,83.0
778,Elle Callahan,1,53.0
779,"Ellen Page, Ian Daniel",1,68.0
780,Ellie Kanner-Zuckerman,1,20.0
781,"Elliot Bour, Saul Blinkoff",1,57.0
782,Ellory Elkayem,1,22.0
783,Elvira Lind,1,57.0
784,Emanuel Hoss-Desmarais,1,51.0
785,Emelie Lindblom,1,48.0
786,Emil Ben-Shimon,1,77.0
787,Emilio Martínez Lázaro,1,46.0
788,Emily Aguilar,1,18.0
789,Emily Moss Wilson,1,31.0
790,Emmanuel Courcol,1,28.0
791,Emmanuel Mouret,1,62.0
792,"Emmanuel Osei-Kuffour,  Jr",1,76.0
793,Emmett Malloy,1,68.0
794,Enah Johnscott,1,14.0
795,Eric Bilitch,1,26.0
796,Eric Bross,1,53.0
797,Eric D. Cabello Díaz,1,22.0
798,"Eric Goode, Rebecca Chaiklin",1,68.0
799,Eric Hurt,1,28.0
800,Eric Meza,1,42.0
801,Ericson Core,1,80.0
802,Erik Bloomquist,2,27.0
803,Erik Canuel,1,35.0
804,Erik Nelson,1,69.0
805,Ernest R. Dickerson,1,74.0
806,Ernesto Diaz Espinoza,1,53.0
807,Ernst Gossner,1,20.0
808,Ernst Lubitsc,1,49.0
809,Esteban Crespo,2,36.0
810,Esteban Sapir,1,62.0
811,Esteban Vidal,1,8.0
812,Estela Renner,1,23.0
813,"Ethan Coen, Joel Coen",2,73.0
814,Ethan Hawke,1,73.0
815,Etienne Sauret,1,22.0
816,Eugenio Derbez,1,70.0
817,Eva Orner,1,70.0
818,Evan Katz,1,52.0
819,Evgeny Afineevsky,1,82.0
820,Eylem Kaftan,1,12.0
821,Eytan Rockaway,1,62.0
822,Ezhil,1,11.0
823,Fab Five Freddie,1,56.0
824,Fabrice Du Welz,1,55.0
825,Fajar Bustomi,1,15.0
826,"Fajar Bustomi, Pidi Baiq",2,37.5
827,Faozan Rizal,1,37.0
828,Farah Khan,2,71.5
829,Farah Nabulsi,1,54.0
830,Farhan Akhtar,2,72.0
831,Faris Godus,1,49.0
832,Farishad I. Latjuba,1,9.0
833,Fazila Allana,1,8.0
834,Federico Lemos,1,43.0
835,Federico Veiroj,2,29.0
836,Fei Xing,1,21.0
837,Felix Chong,1,22.0
838,"Felix Van Groeningen, Felix van Groeningen",1,54.0
839,"Femi Oyeniran, Kalvadour Peterson",1,20.0
840,"Femi Oyeniran, Nicky Slimting Walker",1,15.0
841,Ferdinando Cito Filomarino,1,50.0
842,Fermín Muguruza,1,10.0
843,Fernando Ayllón,1,13.0
844,Fernando Coimbra,1,53.0
845,Fernando González Molina,2,59.0
846,Fernando Lebrija,1,52.0
847,Fernando Meirelles,1,79.0
848,"Fernando Meirelles, Katia Lund",1,88.0
849,Ferzan Ozpetek,1,7.0
850,Filip Kovacevic,1,11.0
851,Filip Renc,1,32.0
852,Filip Zylber,1,39.0
853,Fisher Stevens,1,73.0
854,Florent Bodin,1,19.0
855,Florian Henckel von Donnersmarck,2,68.0
856,Fran Strine,1,52.0
857,Francesco Carnesecchi,1,22.0
858,Francesco Imperato,1,7.0
859,Francis Ford Coppola,2,59.5
860,Francis Megahy,1,15.0
861,Francisco Macri,1,49.0
862,Franck Phelizon,1,21.0
863,Franck Ribière,1,39.0
864,Frank Capra,1,71.0
865,"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",1,16.0
866,Frank Coraci,3,49.0
867,Frank E. Abney III,1,56.0
868,Frank Marshall,1,71.0
869,"Frank Marshall, Rob Minkoff",1,45.0
870,Frank McDonald,1,17.0
871,Frank Nissen,1,65.0
872,"Frank Oz, Jim Henson",1,73.0
873,Frank W Chen,1,16.0
874,Franklin J. Schaffner,1,67.0
875,Fred Dekker,1,67.0
876,Fred Durst,1,33.0
877,Fred Grivois,1,47.0
878,Fred M. Wilcox,1,79.0
879,Fred Olen Ray,1,16.0
880,Fred Schepisi,1,60.0
881,Fred Wolf,1,38.0
882,Fred Zinnemann,1,83.0
883,Freddie Francis,1,54.0
884,Frederick Cipoletti,1,14.0
885,Frederik Du Chau,1,42.0
886,Fritz Böhm,1,55.0
887,Frédéric Tcheng,1,72.0
888,G.J. Echternkamp,1,27.0
889,Gabe Klinger,1,55.0
890,"Gabriel Clarke, Torquil Jones",1,66.0
891,Gabriel Grieco,1,24.0
892,Gabriela Tagliavini,1,44.0
893,Gabriele Muccino,3,60.333333333333336
894,Galt Neiderhoffer,1,36.0
895,Gareth Evans,1,65.0
896,Garrett Batty,1,15.0
897,Garry Marshall,3,49.0
898,Garth Davis,1,60.0
899,Gary Burns,1,17.0
900,Gary Chapman,1,46.0
901,"Gary Cohen, Ross Hockrow",1,30.0
902,Gary Fleder,1,60.0
903,Gary Mak,1,15.0
904,Gary Michael Schultz,1,42.0
905,Gary Ross,2,68.0
906,Gary Rydstrom,1,50.0
907,"Gary Selvaggio, Paul Sabella",1,30.0
908,Gary Wheeler,1,28.0
909,Gary Winick,1,46.0
910,Gary Yates,1,48.0
911,Gaspar Antillo,1,66.0
912,Gaurav Seth,1,19.0
913,Gauravv K Chawla,1,39.0
914,Gauri Shinde,1,71.0
915,Gautam Joglekar,1,4.0
916,Gautham Menon,1,21.0
917,Gavin Fitzgerald,1,66.0
918,Geoff Anderson,2,19.5
919,Geoffrey Wright,1,68.0
920,Geordie Day,1,20.0
921,George Butler,1,41.0
922,George C. Wolfe,2,72.0
923,George Gallo,2,50.0
924,George Kaczender,1,19.0
925,George Mendeluk,1,9.0
926,George Stevens,1,45.0
927,George Tillman Jr.,1,75.0
928,George Ungar,1,44.0
929,George Waggner,1,41.0
930,Gerald Rascionato,1,15.0
931,Gerard Barrett,1,54.0
932,Gerardo Gatica,1,33.0
933,Gerardo Olivares,1,56.0
934,"Gervasio Iglesias, Alexis Morante",1,9.0
935,Gianfranco Rosi,1,71.0
936,Gianni Di Gregorio,1,24.0
937,Gideon Raff,2,44.5
938,Gil Cates Jr.,1,21.0
939,Gilles Paquet-Brenner,1,32.0
940,Gillian Armstrong,1,36.0
941,Gillian Grisman,1,34.0
942,Gillian Robespierre,1,74.0
943,"Giorgio Serafini, Shawn Sourgose",1,21.0
944,Gireesaaya,1,13.0
945,Glendyn Ivin,1,65.0
946,Glenn Gordon Caron,1,27.0
947,Glenn Miller,1,16.0
948,Gokul,1,20.0
949,Gonzalo Bendala,1,43.0
950,Gonzalo López-Gallego,1,41.0
951,Gordon Chan,1,52.0
952,Gordon Willis,1,42.0
953,Gore Verbinski,3,69.0
954,Graeme Campbell,1,18.0
955,Graeme Clifford,1,70.0
956,"Graham Phillips, Parker Phillips",1,34.0
957,Grant Heslov,1,59.0
958,"Grant S. Johnson, Ippsie Jones",1,15.0
959,Greg A. Sager,1,56.0
960,Greg Beeman,3,43.0
961,Greg Coolidge,1,46.0
962,Greg Dorchak,1,22.0
963,Greg Emetaz,1,20.0
964,Greg Kohs,1,85.0
965,Greg Kwedar,1,55.0
966,Greg MacGillivray,1,45.0
967,Greg McLean,1,62.0
968,Greg Mottola,1,79.0
969,Greg Pritikin,1,48.0
970,"Greg Rankin, TJ Sullivan",1,27.0
971,Greg Whiteley,1,58.0
972,Gregg Bishop,1,57.0
973,Gregg Champion,1,40.0
974,Gregory Gieras,1,4.0
975,Gregory Hatanaka,1,8.0
976,Gregory Hoblit,1,71.0
977,Gregory Jacobs,1,25.0
978,Gregory Lacava,1,84.0
979,Gregory Plotkin,1,46.0
980,Griff Furst,1,32.0
981,Griffin Dunne,1,77.0
982,Guillermo del Toro,1,72.0
983,Gurinder Chadha,2,68.0
984,Gurudev Bhalla,1,7.0
985,Gus Van Sant,2,56.5
986,Guy Ritchie,1,79.0
987,H. Bruce Humberstone,1,51.0
988,Habib Faisal,1,46.0
989,Haifaa Al-Mansour,1,69.0
990,Haissam Hussain,1,19.0
991,Hakan Algül,2,21.0
992,Hal Ashby,1,73.0
993,Ham Tran,1,11.0
994,Han Kwang Il,1,78.0
995,Hang-Jun Jang,1,77.0
996,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",1,73.0
997,Hansal Mehta,2,43.5
998,Hanung Bramantyo,2,20.5
999,Harald Reinl,1,40.0
1000,Harish Vyas,1,19.0
1001,Harjit Singh,1,30.0
1002,Hark Tsui,1,62.0
1003,Harmesh Malhotra,1,16.0
1004,Harmony Korine,1,58.0
1005,Harold Cronk,1,35.0
1006,Harrison Smith,1,27.0
1007,"Harry Elfont, Deborah Kaplan",1,56.0
1008,"Harry Horner, John Beal",1,3.0
1009,"Harry Thomason, Nickolas Perry",1,27.0
1010,Harry Watt,1,14.0
1011,"Harvey Glazer, Stuart Stone",1,17.0
1012,Harvey Keith,1,1.0
1013,Harvey Lowry,1,35.0
1014,Hasan Karacadağ,1,25.0
1015,Hasraf Dulull,1,42.0
1016,Hatem Khraiche,1,56.0
1017,Heath Davis,1,19.0
1018,"Heber Cannon, Mariah Moore, Marston Sawyers",1,42.0
1019,Helena Coan,1,59.0
1020,Hemant Madhukar,1,20.0
1021,Henri Wong,1,12.0
1022,Henrik Martin Dahlsbakken,1,29.0
1023,Henrik Ruben Genz,1,44.0
1024,Henry Hathaway,1,81.0
1025,Henry Jaglom,1,20.0
1026,"Henry Joost, Ariel Schulman",1,56.0
1027,Henry Koster,1,74.0
1028,Henry Levin,1,71.0
1029,Henry Selick,1,72.0
1030,Herbert L. Strock,1,23.0
1031,Herbert Ross,2,53.5
1032,Hernán Zin,1,14.0
1033,Hikari,1,64.0
1034,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",1,79.0
1035,Hiroshi Katagiri,1,36.0
1036,Hitesh Kewalya,1,62.0
1037,Holger Tappe,1,40.0
1038,Holly Sloan,1,50.0
1039,Honey Trehan,1,69.0
1040,Hong Khaou,1,50.0
1041,Houda Benyamina,1,76.0
1042,Howard Hawks,1,83.0
1043,"Howard Hawks, William Wyler, Richard Rosson",1,46.0
1044,Howard Higgin,1,11.0
1045,Howard Hughes,1,44.0
1046,"Howard Kress, Harold F. Kress",1,11.0
1047,Howard McCain,1,52.0
1048,Hoyt Yeatman,1,45.0
1049,Hrishikesh Mukherjee,4,47.5
1050,Huang Hsin-Yao,1,37.0
1051,Huang Lei,1,27.0
1052,Hugh Hudson,1,47.0
1053,Hugh WIlson,1,62.0
1054,Hung Tsin-yin,1,47.0
1055,Huw Cordey,1,62.0
1056,Iain Softley,1,53.0
1057,Ian Cheney,1,55.0
1058,Ian Edelman,1,53.0
1059,Ian MacAllister McDonald,1,55.0
1060,Ian Olds,1,28.0
1061,Ian Samuels,1,67.0
1062,Ib Melchior,1,37.0
1063,Icíar Bollaín,1,76.0
1064,Ida Lupino,1,65.0
1065,"Ida Lupino, Elmer Clifton",1,38.0
1066,Ifa Isfansyah,1,9.0
1067,Iginio Straffi,2,28.0
1068,"Igor Kovalyov, Norton Virgien",1,61.0
1069,Ildiko Enyedi,1,78.0
1070,Ilya Naishuller,1,59.0
1071,Imtiaz Ali,3,56.666666666666664
1072,Indra Kumar,5,35.4
1073,Indrajit Nattoji,1,12.0
1074,Irek Dobrowolski,1,69.0
1075,Iris Shim,1,18.0
1076,Isaac Ezban,1,58.0
1077,"Isaac Florentine, Scott Adkins",1,55.0
1078,Isaac Halasima,1,38.0
1079,Isaac Rentz,1,60.0
1080,Isabel Coixet,1,57.0
1081,Israel Adrián Caetano,1,45.0
1082,Ivan Ayr,1,28.0
1083,Ivan Reitman,1,55.0
1084,Ivan Sen,1,68.0
1085,Ivan Silvestrini,1,48.0
1086,Ivona Juka,1,29.0
1087,Ivy Ho,1,19.0
1088,J. Lee Thompson,2,56.0
1089,J. Sabarish,1,77.0
1090,J.C. Chandor,1,72.0
1091,J.C. Falcón,1,34.0
1092,J.D. Dillard,1,65.0
1093,J.M. Berrios,1,56.0
1094,J.R. Sawyers,1,45.0
1095,J.T. Petty,1,53.0
1096,JD Cohen,1,59.0
1097,JJ Fredrick,1,33.0
1098,Jack C. Newell,1,32.0
1099,Jack Cutting,1,52.0
1100,Jack Donohue,1,50.0
1101,Jack Hannah,8,30.0
1102,Jack King,4,34.5
1103,Jack Kinney,4,37.75
1104,"Jack Kinney, W. Roberts, Hamilton Luske",1,63.0
1105,Jack Nicholson,1,53.0
1106,Jack Perez,1,60.0
1107,Jack Sholder,1,39.0
1108,Jack Topalian,1,45.0
1109,Jack Zagha Kababie,1,44.0
1110,Jacob Gentry,1,50.0
1111,Jacob Rosenberg,1,28.0
1112,Jacques Kluger,1,25.0
1113,Jagdeep Sidhu,1,39.0
1114,Jake Helgren,1,20.0
1115,Jakob Lass,1,9.0
1116,Jakob Verbruggen,1,75.0
1117,Jakub Piątek,1,41.0
1118,Jalil Lespert,2,31.5
1119,Jamal Hill,1,29.0
1120,James Algar,1,31.0
1121,James Cameron,1,81.0
1122,"James Cameron, Steven Quale",1,66.0
1123,James Cruze,1,14.0
1124,James D.R. Hickox,1,16.0
1125,James F. Collier,2,26.5
1126,James Gartner,1,69.0
1127,James Haslam,1,39.0
1128,James Ivory,1,61.0
1129,James Kent,1,44.0
1130,"James Kondelik, Jon Kondelik",1,18.0
1131,James L. Edwards,1,8.0
1132,James Manera,1,29.0
1133,James Mangold,1,73.0
1134,James McTeigue,1,52.0
1135,James Moll,1,83.0
1136,James Neilson,1,59.0
1137,James Orr,1,40.0
1138,James Sadwith,1,65.0
1139,James Schroeder,1,22.0
1140,James Shanks,1,5.0
1141,James Vasanthan,1,26.0
1142,James Wong,1,54.0
1143,James Yukich,1,35.0
1144,Jami,1,15.0
1145,Jan Komasa,1,72.0
1146,Jan Pinkava,1,79.0
1147,Jane Campion,1,83.0
1148,Jang Chang-won,1,55.0
1149,Jang Hoon,1,78.0
1150,"Jarrad Paul, Andrew Mogel",1,45.0
1151,Jasmin Dizdar,1,23.0
1152,Jasmine D'Souza,1,10.0
1153,Jason Cohen,1,63.0
1154,Jason Krawczyk,1,68.0
1155,Jason Paul Laxamana,1,8.0
1156,Jason Woliner,1,70.0
1157,Jason Zada,1,69.0
1158,Jason Zink,1,9.0
1159,Jaume Collet-Serra,2,63.0
1160,"Javier Ambrossi, Javier Calvo",1,65.0
1161,Javier Ruiz Caldera,2,52.5
1162,Jay Arnold,1,16.0
1163,Jay Bulger,1,31.0
1164,Jay Chandrasekhar,1,40.0
1165,Jay Chapman,5,27.4
1166,Jay Craven,1,14.0
1167,"Jay Duplass, Mark Duplass",1,65.0
1168,Jay Kanzler,1,11.0
1169,Jay Karas,7,48.42857142857143
1170,"Jay Karas, Demetri Martin",1,54.0
1171,Jay Lee,1,15.0
1172,Jay Oliva,1,70.0
1173,Jay Roach,3,62.333333333333336
1174,Jay Surridge,1,8.0
1175,Jayaprakash Radhakrishnan,1,21.0
1176,Jazz Boon,1,33.0
1177,Jean Paul Lal,1,46.0
1178,Jean-Claude Flamand-Barny,1,11.0
1179,Jean-Claude La Marre,2,18.5
1180,Jean-Francois Laguionie,1,18.0
1181,Jean-François Richet,1,69.0
1182,Jean-Marc Vallée,1,81.0
1183,Jean-Marie Pallardy,1,28.0
1184,Jean-Paul Salomé,1,59.0
1185,Jean-Pierre Devillers,1,6.0
1186,Jeannie Gaffigan,1,56.0
1187,Jeannot Szwarc,1,55.0
1188,"Jedd Wider, Todd Wider",1,69.0
1189,Jeethu Joseph,1,32.0
1190,Jeferson De,1,42.0
1191,Jeff Baena,1,50.0
1192,Jeff Blyth,1,31.0
1193,Jeff Deverett,1,22.0
1194,Jeff Garlin,1,48.0
1195,Jeff Gipson,1,24.0
1196,Jeff Gordon,1,21.0
1197,Jeff Kanew,1,23.0
1198,Jeff Nichols,1,73.0
1199,Jeff Orlowski,1,86.0
1200,Jeff Tomsic,1,51.0
1201,Jeff Wadlow,1,50.0
1202,"Jefferson Moore, Shane Sooter",1,24.0
1203,Jeffrey Bloom,1,43.0
1204,Jeffrey C. Bell,1,12.0
1205,Jeffrey G. Hunt,1,45.0
1206,Jeffrey Hornaday,2,65.0
1207,Jeffrey Nachmanoff,1,66.0
1208,Jeffrey Schwarz,1,67.0
1209,Jeffrey Travis,1,16.0
1210,Jeffrey Walker,1,67.0
1211,Jelle de Jonge,1,28.0
1212,Jen McGowan,1,62.0
1213,Jenn Page,1,71.0
1214,Jennifer Peedom,1,74.0
1215,Jeremiah Chechik,1,59.0
1216,Jeremiah S. Chechik,1,46.0
1217,Jeremy Grant,1,17.0
1218,Jeremy Kagan,1,11.0
1219,Jeremy Podeswa,1,68.0
1220,Jeremy Rush,1,65.0
1221,Jeremy Saulnier,3,68.66666666666667
1222,Jeremy Sims,1,66.0
1223,Jeremy Thomas,1,66.0
1224,Jerrold Tarog,1,43.0
1225,Jerry Rothwell,1,74.0
1226,"Jerry Rothwell, Reuben Atlas",1,76.0
1227,Jerry Seinfeld,1,21.0
1228,Jesse Peretz,1,63.0
1229,Jesse V. Johnson,4,62.75
1230,"Jesse V. Johnson, Jesse Johnson",1,57.0
1231,Jesse Warn,1,26.0
1232,Jesse Zwick,1,56.0
1233,Jessica Yu,1,37.0
1234,Jessie Nelson,1,62.0
1235,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",1,56.0
1236,"Jill Bauer, Ronna Gradus",1,63.0
1237,Jill Sprecher,1,70.0
1238,Jillian Schlesinger,1,76.0
1239,Jim Abrahams,1,59.0
1240,Jim Capobianco,1,66.0
1241,Jim Fall,2,26.5
1242,Jim Henson,1,75.0
1243,Jim Hosking,1,53.0
1244,Jim Jarmusch,1,75.0
1245,"Jim Kammerud, Brian Smith",1,56.0
1246,Jim Monaco,1,17.0
1247,Jim Strouse,1,69.0
1248,"Jim Wheat, Ken Wheat",1,50.0
1249,Jimmy Henderson,1,42.0
1250,Jo Kastner,1,24.0
1251,Joachim Lafosse,1,35.0
1252,Joachim Rønning,1,62.0
1253,"Joachim Rønning, Espen Sandberg",2,63.0
1254,Joan Micklin Silver,1,10.0
1255,Joanna Hogg,1,71.0
1256,Joanne Hock,1,17.0
1257,Joaquín Mazón,1,30.0
1258,Joby Harold,1,55.0
1259,Jocelyn Moorhouse,1,64.0
1260,"Jodi Flynn, Brent Montgomery",1,37.0
1261,Jodie Foster,1,67.0
1262,Joe Berlinger,1,57.0
1263,Joe Boyd,1,39.0
1264,Joe Carnahan,1,56.0
1265,Joe Chappelle,1,33.0
1266,Joe Cornish,1,67.0
1267,Joe Dante,2,61.0
1268,Joe Johnston,1,62.0
1269,Joe Lynch,1,48.0
1270,Joe Mantello,1,70.0
1271,"Joe Murray, Cosmo Segurson",1,69.0
1272,Joe Newman,1,17.0
1273,Joe Nussbaum,3,46.333333333333336
1274,Joe Penna,1,59.0
1275,Joe Piscatella,1,77.0
1276,Joe Roth,1,40.0
1277,Joe Swanberg,1,64.0
1278,Joe Talbot,1,82.0
1279,"Joel Coen,  Ethan Coen",1,71.0
1280,"Joel Coen, Ethan Coen",1,79.0
1281,Joel Gallen,1,49.0
1282,Joel Hershman,1,58.0
1283,Joel Hopkins,1,48.0
1284,Joel Schumacher,1,37.0
1285,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",1,68.0
1286,Johannes Nyholm,1,37.0
1287,Johannes Roberts,1,53.0
1288,John A. Davis,1,63.0
1289,John Adams,1,68.0
1290,"John Adams, Toby Poser",1,7.0
1291,John Asher,4,26.75
1292,John Badham,2,51.5
1293,John Banas,1,17.0
1294,John Cherry,1,51.0
1295,John Cork,1,8.0
1296,John Crowley,1,55.0
1297,John David Moffat IV,1,9.0
1298,John Dower,1,56.0
1299,John Erick Dowdle,1,55.0
1300,John Ford,3,49.333333333333336
1301,John Fortenberry,1,23.0
1302,John Frankenheimer,1,38.0
1303,John G. Avildsen,2,52.5
1304,John Geddes,1,36.0
1305,"John Haptas, Kristine Samuelson",1,58.0
1306,John Herzfeld,1,21.0
1307,John Hillcoat,2,60.5
1308,John Huston,2,49.0
1309,John Hyams,1,33.0
1310,John Kafka,1,44.0
1311,John Korty,1,7.0
1312,John Laing,2,45.5
1313,John Lasseter,4,67.25
1314,John Lee Hancock,3,70.33333333333333
1315,John Lyde,1,38.0
1316,John Maclean,1,67.0
1317,John McKay,1,21.0
1318,John McTiernan,1,80.0
1319,John Murlowski,2,42.5
1320,"John Musker, Ron Clements",1,70.0
1321,John P. Gibson,1,9.0
1322,John Patrick Shanley,1,77.0
1323,John Pogue,2,48.0
1324,John Putch,1,38.0
1325,John Rawlins,1,6.0
1326,John Rich,1,47.0
1327,John Sayles,2,74.0
1328,John Scheinfeld,1,74.0
1329,John Shepphird,2,16.5
1330,John Stainton,1,55.0
1331,John Sturges,2,10.0
1332,John Suits,1,36.0
1333,John Wells,2,67.5
1334,"John Wynn, Akhtem Seitablaev",1,44.0
1335,John Zaritsky,1,22.0
1336,Johnnie To,5,46.6
1337,Johnny Kevorkian,1,50.0
1338,Johnny Martin,1,37.0
1339,"Johnny Meier, David Aaron Stone",1,7.0
1340,Jon Avnet,1,45.0
1341,Jon Favreau,1,67.0
1342,Jon Garcia,1,47.0
1343,Jon Hewitt,1,14.0
1344,Jon J. Whelan,1,34.0
1345,Jon Long,1,24.0
1346,"Jon Lucas, Scott Moore",2,50.0
1347,Jon M. Chu,1,47.0
1348,Jon Rosenbaum,2,20.5
1349,Jon S. Baird,1,62.0
1350,Jon Schnitzer,1,53.0
1351,Jon Sumple,1,16.0
1352,Jon Turteltaub,3,60.666666666666664
1353,Jon Watts,1,65.0
1354,Jonas Åkerlund,1,62.0
1355,Jonathan Augustin,1,27.0
1356,"Jonathan Dayton, Valerie Faris",1,82.0
1357,Jonathan Kaplan,1,58.0
1358,Jonathan Kasdan,1,62.0
1359,Jonathan Kaufman,1,33.0
1360,Jonathan Levine,1,49.0
1361,Jonathan Liebesman,1,44.0
1362,Jonathan Meyers,1,22.0
1363,Jonathan Prince,1,48.0
1364,Jonathan Teplitzky,1,66.0
1365,"Jonathan auf der Heide, Tony Ayres",1,39.0
1366,Joram Lürsen,1,35.0
1367,Jordan Ross,1,56.0
1368,Jordi Llompart,1,27.0
1369,Jorge Blanco,1,50.0
1370,Jorge Dorado,1,54.0
1371,Jorge M. Fontana,1,15.0
1372,Jorge R. Gutiérrez,1,77.0
1373,Jos Humphrey,1,28.0
1374,Jose Montesinos (Frenzy),1,15.0
1375,Josef Fares,1,39.0
1376,Joseph Cross,1,47.0
1377,Joseph H. Lewis,1,57.0
1378,Joseph Hsu,1,52.0
1379,Joseph Kane,1,24.0
1380,Joseph Ruben,1,8.0
1381,Joseph Sargent,1,14.0
1382,Joseph V. Mascelli,1,16.0
1383,Josh Bailey,1,10.0
1384,Josh Cooley,1,84.0
1385,Josh F. Huber,1,27.0
1386,Josh Greenbaum,1,52.0
1387,Josh Mendoza,1,44.0
1388,"Josh Safdie, Benny Safdie",1,78.0
1389,Josh Webber,1,17.0
1390,"Josh Z. Weinstein, Joshua Z. Weinstein",1,75.0
1391,Joshua Rofé,1,69.0
1392,Joshua Sanchez,1,9.0
1393,Joshua Zeman,1,64.0
1394,Joyce Bernal,2,9.5
1395,Joyce Chopra,1,40.0
1396,Juan Antin,1,40.0
1397,Juan Camilo Pinzon,1,10.0
1398,Juan Carlos Medina,1,45.0
1399,Juan Carlos Valdivia,1,23.0
1400,Juan Pablo Buscarini,1,44.0
1401,Judah Friedlander,1,47.0
1402,Julia Dyer,1,16.0
1403,Julia Hart,2,68.0
1404,Julia Knowles,1,31.0
1405,Julia von Heinz,1,52.0
1406,Julian Jarrold,2,65.5
1407,Julie Dash,1,74.0
1408,Julie Robinson,1,55.0
1409,Julie Taymor,1,72.0
1410,Julien Leclercq,2,43.5
1411,Julien Royal,1,19.0
1412,Julius Avery,1,60.0
1413,July Hygreck,1,15.0
1414,Jun Falkenstein,1,63.0
1415,Jun Lana,2,27.0
1416,Just Philippot,1,55.0
1417,Justin Baldoni,1,68.0
1418,"Justin Benson, Aaron Moorhead",2,70.5
1419,Justin Chadwick,2,54.0
1420,Justin Chon,1,70.0
1421,Justin G. Dyck,2,26.0
1422,Justin Kelly,1,56.0
1423,Justin Lee,1,44.0
1424,Justin Lin,1,75.0
1425,Justin McConnell,1,54.0
1426,"Jérémie Degruson, Ben Stassen",1,48.0
1427,K. Rajagopal,1,10.0
1428,K. Ravi Shankar,1,6.0
1429,K. S. Manikandan,1,12.0
1430,K. S. Ravikumar,1,10.0
1431,K. Subhash,1,10.0
1432,KS Ravindra(Bobby),1,12.0
1433,Ka-Wai Kam,1,67.0
1434,Kabir Bhatia,1,13.0
1435,Kabir Khan,2,46.5
1436,Kacho López Mari,1,7.0
1437,Kader Aoun,1,22.0
1438,Kamala Lopez,1,29.0
1439,Karan Johar,3,72.33333333333333
1440,Karel Reisz,1,76.0
1441,Karen J. Lloyd,1,8.0
1442,Karen Leigh Hopkins,1,44.0
1443,Karen Maine,1,68.0
1444,Kari Skogland,1,35.0
1445,"Karim Amer, Jehane Noujaim",1,71.0
1446,Karl Geurs,1,62.0
1447,Karthik Subbaraj,1,44.0
1448,Karzan Kader,1,42.0
1449,Kaspar Astrup Schröder,1,35.0
1450,Kasper Barfoed,1,52.0
1451,Kasper Collin,1,78.0
1452,Kasra Farahani,1,55.0
1453,Katharine Emmer,1,24.0
1454,Katherine Brooks,1,59.0
1455,Katherine Dieckmann,1,58.0
1456,"Katy Chevigny, Ross Kauffman",1,41.0
1457,Kavi Raz,1,22.0
1458,Keanu Reeves,1,62.0
1459,Kees Van Oostrum,1,20.0
1460,Keiichi Hara,1,69.0
1461,Keishi Otomo,1,80.0
1462,Keith Bearden,1,33.0
1463,"Keith Fulton, Louis Pepe",1,75.0
1464,Keith Samples,1,25.0
1465,Keith Scholey,2,18.0
1466,Kelly Asbury,1,57.0
1467,Kelly Duane de la Vega,1,65.0
1468,Kelly Fremon Craig,1,79.0
1469,"Kelly Noonan Gores, Adam Schomer",1,50.0
1470,Kemi Adetiba,2,16.0
1471,Ken Annakin,1,29.0
1472,Ken Ghosh,2,35.0
1473,Ken Hughes,2,65.5
1474,Ken Kushner,1,20.0
1475,Ken Kwapis,1,65.0
1476,Ken Russell,1,61.0
1477,Ken Scott,1,61.0
1478,Kenneth Branagh,2,47.5
1479,Kenny Golde,1,8.0
1480,Kenny Leon,1,52.0
1481,Kenny Ortega,2,64.0
1482,Keoni Waxman,3,36.0
1483,Kepa Sojo,1,25.0
1484,Kerry Mondragon,1,49.0
1485,Kerstin Karlhuber,1,60.0
1486,Ketan Mehta,1,24.0
1487,Keva Rosenfeld,1,64.0
1488,Kevan Peterson,1,25.0
1489,"Kevin Booth, David Johndrow",1,50.0
1490,Kevin Bray,1,10.0
1491,Kevin Connolly,1,41.0
1492,Kevin Costner,1,82.0
1493,Kevin Donovan,1,43.0
1494,Kevin Hooks,2,58.0
1495,Kevin Lima,1,75.0
1496,Kevin MacDonald,1,78.0
1497,Kevin Macdonald,2,67.0
1498,Kevin McMullin,1,66.0
1499,Kevin Phillips,1,9.0
1500,"Kevin R. Adams, Joe Ksander",1,70.0
1501,Kevin Shulman,1,10.0
1502,Kevin Smith,1,49.0
1503,Kevin Tenney,1,14.0
1504,Kevin Tostado,1,35.0
1505,Kevin VanHook,1,13.0
1506,Khaled Marei,3,40.0
1507,Khalid Mohamed,1,36.0
1508,Kheiron,2,46.5
1509,Kief Davidson,1,43.0
