,director,Number_MoviesShows_dir,dir_average_score
171,Andrzej Bartkowiak,1,50.0
172,Andrés Couturier,1,12.0
173,Andrés Goteira,1,11.0
174,Andy Fickman,1,37.0
175,Andy Knight,1,51.0
176,Andy Tennant,4,54.0
177,Anees Bazmee,4,39.5
178,Angel Kristi Williams,1,43.0
179,"Angelo J. Guglielmo,  Jr.",1,50.0
180,Angga Dwimas Sasongko,1,14.0
181,Angus MacLane,1,78.0
182,"Anil V. Kumar, Anurag Basu",1,11.0
183,Aniruddha Roy Chowdhury,1,80.0
184,Ann Deborah Fishman,1,34.0
185,"Anna Boden, Ryan Fleck",1,70.0
186,Anna Elizabeth James,1,35.0
187,Anna Mastro,1,36.0
188,Anna Wieczur-Bluszcz,1,32.0
189,Annabel Jankel,1,61.0
190,Anne Fletcher,1,71.0
191,Anne Fontaine,1,52.0
192,Anne Wheeler,1,28.0
193,Anoop Rangi,1,2.0
194,Ant Timpson,1,68.0
195,"Anthony Abrams, Adam Larson Broder",1,28.0
196,Anthony Bell,1,8.0
197,Anthony Byrne,1,55.0
198,Anthony C. Ferrante,3,42.666666666666664
199,Anthony DiBlasi,1,65.0
200,Anthony Fabian,1,76.0
201,Anthony Giordano,1,67.0
202,Anthony Lucero,1,68.0
203,Anthony Simmons,1,16.0
204,Anthony Wonke,1,32.0
205,Antoinette Jadaone,1,27.0
206,Anton Corbijn,1,21.0
207,Antonio Campos,2,57.5
208,Antonio Chavarrías,1,25.0
209,Antonio Morabito,1,29.0
210,Antonio Negret,1,46.0
211,Anubhav Sinha,1,81.0
212,Anudeep KV,1,45.0
213,Anurag Basu,1,73.0
214,Anurag Kashyap,4,62.25
215,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",1,55.0
216,Anurag Singh,1,36.0
217,Anuraj Manohar,1,41.0
218,Anvita Dutt,1,65.0
219,Aphton Corbin,1,49.0
220,"Appie Boudellah, Aram van de Rest",1,30.0
221,April Mullen,1,48.0
222,Aram Rappaport,1,45.0
223,Arati Kadav,1,35.0
224,Ari Aster,1,76.0
225,Ari Gold,1,24.0
226,Ari Sandel,1,55.0
227,Ariel Vromen,1,65.0
228,Armand Mastroianni,1,29.0
229,Armando Iannucci,1,79.0
230,Arnab Chaudhuri,1,41.0
231,"Art Stevens, Ted Berman, Richard Rich",1,72.0
232,Arthur Penn,1,80.0
233,"Arthur Wong, Brandy Yuen",1,22.0
234,Arvi,1,11.0
235,Asghar Farhadi,2,78.5
236,Ashley Avis,1,59.0
237,Ashok Nanda,1,13.0
238,Ashraf Fayeq,1,19.0
239,Ashu Trikha,1,16.0
240,Ashutosh Gowariker,2,59.0
241,Ashwiny Iyer Tiwari,1,70.0
242,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",1,20.0
243,Asif Kapadia,1,84.0
244,Assaf Bernstein,1,50.0
245,Atlee,1,59.0
246,Atom Egoyan,1,70.0
247,Attila Till,1,61.0
248,Atul Sabharwal,1,31.0
249,Audrey Cummings,1,37.0
250,Austin Stark,1,40.0
251,Avinash Arun,1,46.0
252,Axelle Carolyn,1,52.0
253,Axelle Laffont,1,37.0
254,Ayaan Mukherji,1,70.0
255,Ayumu Watanabe,1,67.0
256,Ayush Raina,1,20.0
257,Azfar Jafri,1,21.0
258,Aziz Mirza,3,47.666666666666664
259,B. Unnikrishnan,1,35.0
260,Bala,1,29.0
261,Balaji Sakthivel,1,38.0
262,Baljit Singh Deo,1,22.0
263,Bapu,1,9.0
264,"Barbara Białowąs, Tomasz Mandes",1,40.0
265,Barbara Kopple,1,79.0
266,Barbra Streisand,1,67.0
267,"Barbra Streisand, Jim Gable",1,23.0
268,Barnet Bain,1,25.0
269,Barry Alexander Brown,1,52.0
270,Barry Avrich,2,65.5
271,Barry Cook,1,37.0
272,Barry Jenkins,1,85.0
273,Barry Levinson,2,75.5
