title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
Intermission,,,70.0,,,,
Last Days Here,,,55.0,,,,
Let's Be Evil,,,33.0,,,,
Mercury Rising,,,48.0,,,,
Ode to Joy,,,56.0,,,,
Open Water,,,59.0,,,,
Personal Shopper,,,69.0,,,,
Shelley,,,55.0,,,,
Sightseers,,,72.0,,,,
The Face of Love,,,52.0,,,,
The Gift,,,63.0,,,,
They Came Together,,,55.0,,,,
Timeline,,,45.0,,,,
Twisted,,,38.0,,,,
Underworld,,,59.0,,,,
Underworld: Evolution,,,54.0,,,,
Safer at Home,,,31.0,,,,
Elvis Presley: The Searcher,,,60.0,,,,
Motherland: Fort Salem,,,76.0,,,,
Switched at Birth,,,77.0,,,,
The Doorman,,,43.0,,,,
Phobias,,,34.0,,,,
Dance Moms,,,55.0,,,,
Duck Dynasty,,,64.0,,,,
Gone Girl,,,82.0,,,,
Mountain Men,,,42.0,,,,
Nasrin,,,83.0,,,,
The Housewife and the Hustler,,,13.0,,,,
Come True,,,64.0,,,,
"Love, Victor",,,81.0,,,,
The Croods: A New Age,,,69.0,,,,
Little Birds,,,48.0,,,,
The Kings,,,23.0,,,,
Juan Luis Guerra 4.40: Entre Mar y Palmeras,,,20.0,,,,
America's Got Talent,,,58.0,,,,
Bloody Sunday,,,80.0,,,,
Fun in Acapulco,,,45.0,,,,
Hanging Up,,,41.0,,,,
Hud,,,74.0,,,,
Last Chance Harvey,,,63.0,,,,
Savage State,,,51.0,,,,
Silence,,,77.0,,,,
Switchback,,,53.0,,,,
The Love Letter,,,35.0,,,,
The Time Machine,,,47.0,,,,
Walking Tall,,,61.0,,,,
Wayne's World 2,,,63.0,,,,
Young Adult,,,65.0,,,,
Mr Inbetween,,,86.0,,,,
Supernova,,,73.0,,,,
Mosquita y Mari,,,49.0,,,,
MLK/FBI,,,76.0,,,,
Little Fish,,,76.0,,,,
Love Sarah,,,50.0,,,,
Naked and Afraid,,,67.0,,,,
Flight,,,76.0,,,,
Blue Chips,,,58.0,,,,
Bound,,,78.0,,,,
I Am Cait,,,34.0,,,,
Resident Evil: Apocalypse,,,46.0,,,,
Resident Evil: Extinction,,,52.0,,,,
Shahs of Sunset,,,33.0,,,,
The Indian in the Cupboard,,,58.0,,,,
The Jackal,,,50.0,,,,
The Judge,,,64.0,,,,
The Handmaid's Tale,,,79.0,,,,
Better Days,,,83.0,,,,
Cruel Summer,,,78.0,,,,
Memories of Murder,,,87.0,,,,
Sister of the Groom,,,21.0,,,,
The Real Housewives of Beverly Hills,,,60.0,,,,
Paranormal Activity 4,,,42.0,,,,
Spontaneous,,,72.0,,,,
Knuckledust,,,20.0,,,,
Everything's Gonna Be Okay,,,66.0,,,,
Stars Fell on Alabama,,,28.0,,,,
Blair Witch,,,46.0,,,,
Hysterical,,,29.0,,,,
The Real Housewives of New York City,,,51.0,,,,
WeWork: or The Making and Breaking of a $47 Billion Unicorn,,,65.0,,,,
A Hologram for the King,,,62.0,,,,
Guy's Grocery Games,,,31.0,,,,
Naked and Afraid XL,,,43.0,,,,
Shrek 2,,,76.0,,,,
Step Up Revolution,,,58.0,,,,
Zappa,,,80.0,,,,
RuPaul's Drag Race All Stars,,,74.0,,,,
Solar Opposites,,,81.0,,,,
The Hurricane Heist,,,42.0,,,,
Breeders,,,76.0,,,,
Hunter Hunter,,,63.0,,,,
Staged,,,78.0,,,,
Another Time,,,23.0,,,,
Get Big,,,28.0,,,,
Intersect,,,33.0,,,,
Robert the Bruce,,,55.0,,,,
Sister Aimee,,,27.0,,,,
Terminator: The Sarah Connor Chronicles,,,78.0,,,,
Blood and Money,,,48.0,,,,
Buddy Games,,,37.0,,,,
Farewell Amor,,,74.0,,,,
I Met a Girl,,,33.0,,,,
Proxima,,,68.0,,,,
Dear Santa,,,67.0,,,,
Just Married,,,44.0,,,,
Neil Young: Heart of Gold,,,61.0,,,,
Priceless,,,57.0,,,,
Jersey Shore: Family Vacation,,,52.0,,,,
The Challenge,,,71.0,,,,
Stardust,,,32.0,,,,
Beartown,,,63.0,,,,
Dredd,,,70.0,,,,
Good Trouble,,,70.0,,,,
Sonic the Hedgehog,,,61.0,,,,
The Warrior Queen of Jhansi,,,51.0,,,,
House Hunters,,,26.0,,,,
Lost Girls & Love Hotels,,,45.0,,,,
Pawn Stars,,,71.0,,,,
Property Brothers,,,57.0,,,,
The Shape of Water,,,75.0,,,,
Men in Kilts: A Roadtrip with Sam and Graham,,,62.0,,,,
Line of Duty,,,88.0,,,,
Then Came You,,,59.0,,,,
Harrow,,,78.0,,,,
Beach Rats,,,69.0,,,,
Antebellum,,,49.0,,,,
Dear Comrades!,,,77.0,,,,
12 Hour Shift,,,56.0,,,,
Modern Family,,,84.0,,,,
Being Mary Jane,,,70.0,,,,
Black Ink Crew,,,31.0,,,,
"Hello, My Name Is Doris",,,70.0,,,,
The Game,,,16.0,,,,
Notturno,,,66.0,,,,
The Guest Book,,,49.0,,,,
Freaks and Geeks,,,89.0,,,,
Ingrid Goes West,,,72.0,,,,
The Tax Collector,,,45.0,,,,
Gold Rush,,,69.0,,,,
Prodigal Son,,,73.0,,,,
Property Brothers: Forever Home,,,15.0,,,,
Hollyoaks,,,35.0,,,,
Last Man Standing,,,77.0,,,,
Lights Out,,,61.0,,,,
Mr. Mayor,,,60.0,,,,
WWE Main Event,,,24.0,,,,
The Promised Neverland,,,82.0,,,,
30 Coins,,,76.0,,,,
Centennial,,,44.0,,,,
Donnie Brasco,,,80.0,,,,
Rules of Engagement,,,67.0,,,,
Pilgrimage,,,59.0,,,,
The Limehouse Golem,,,61.0,,,,
American Animals,,,69.0,,,,
Soldiers of Fortune,,,26.0,,,,
The Owners,,,53.0,,,,
Someone Marry Barry,,,46.0,,,,
NOS4A2,,,67.0,,,,
The Jinkx & DeLa Holiday Special,,,47.0,,,,
Au Pair 3: Adventure in Paradise,,,15.0,,,,
The Evil in Us,,,42.0,,,,
Spy Cat,,,28.0,,,,
Attack on Titan,,,89.0,,,,
The Secret Garden,,,59.0,,,,
God's Own Country,,,82.0,,,,
Mr. Jones,,,71.0,,,,
Waiting for the Barbarians,,,56.0,,,,
She Dies Tomorrow,,,60.0,,,,
The Hardy Boys,,,60.0,,,,
Angels & Demons,,,61.0,,,,
Shared Rooms,,,21.0,,,,
The Perfect Wedding,,,20.0,,,,
Zeke and Luther,,,49.0,,,,
Centigrade,,,44.0,,,,
Bombshell,,,69.0,,,,
Happiest Season,,,66.0,,,,
Burden of Truth,,,75.0,,,,
Animaniacs,,,68.0,,,,
Tesla,,,54.0,,,,
69: The Saga of Danny Hernandez,,,62.0,,,,
12 Pups of Christmas,,,15.0,,,,
A Nice Girl Like You,,,43.0,,,,
Christmas Crush,,,10.0,,,,
Ramen Heads,,,44.0,,,,
Search and Destroy,,,11.0,,,,
Suburban Gothic,,,52.0,,,,
The Maid's Room,,,18.0,,,,
The Sunlit Night,,,53.0,,,,
12 Years a Slave,,,86.0,,,,
The Secret Life of Walter Mitty,,,66.0,,,,
Chicago Med,,,72.0,,,,
Chicago P.D.,,,79.0,,,,
The Nice Guys,,,75.0,,,,
Moonbase 8,,,52.0,,,,
Akudama Drive,,,64.0,,,,
Money Plane,,,37.0,,,,
Killing Eve,,,78.0,,,,
Kuma Kuma Kuma Bear,,,37.0,,,,
The Good Doctor,,,72.0,,,,
The Irregular at Magic High School,,,72.0,,,,
Wandering Witch: The Journey of Elaina,,,52.0,,,,
Delirium,,,52.0,,,,
Good Will Hunting,,,83.0,,,,
Never Been Kissed,,,62.0,,,,
Rick and Morty,,,89.0,,,,
Shangri-La Suite,,,32.0,,,,
The Expendables,,,58.0,,,,
The Expendables 3,,,56.0,,,,
Attaway General,,,9.0,,,,
Chicken Girls,,,22.0,,,,
What to Expect When You're Expecting,,,50.0,,,,
American Pickers,,,70.0,,,,
Storage Wars,,,60.0,,,,
"Cyrano, My Love",,,77.0,,,,
Celeste & Jesse Forever,,,67.0,,,,
"F*ck, That's Delicious",,,16.0,,,,
The Voice,,,64.0,,,,
Friend Request,,,40.0,,,,
Mr. Pickles,,,76.0,,,,
Earth to Echo,,,54.0,,,,
Emperor,,,57.0,,,,
Helstrom,,,56.0,,,,
Treadstone,,,63.0,,,,
Infamous,,,43.0,,,,
Dragon Quest: The Adventure of Dai,,,52.0,,,,
Judy & Punch,,,63.0,,,,
The Express,,,69.0,,,,
Fargo,,,86.0,,,,
A Wilderness of Error,,,28.0,,,,
Filthy Rich,,,41.0,,,,
Bless the Harts,,,54.0,,,,
Gemini Man,,,54.0,,,,
My Soul to Take,,,38.0,,,,
Prisoners,,,78.0,,,,
Power Book II: Ghost,,,75.0,,,,
Anthropoid,,,68.0,,,,
Mike Tyson Mysteries,,,78.0,,,,
Playmobil: The Movie,,,43.0,,,,
Rambo,,,60.0,,,,
Strike,,,76.0,,,,
Trolls World Tour,,,63.0,,,,
Primal,,,90.0,,,,
Nazi Megastructures,,,22.0,,,,
Find Me in Paris,,,40.0,,,,
Daffodils,,,20.0,,,,
The Cup,,,22.0,,,,
Behind You,,,33.0,,,,
Savage Kingdom,,,25.0,,,,
Before Midnight,,,85.0,,,,
Bernie the Dolphin 2,,,9.0,,,,
Alive and Kicking,,,41.0,,,,
Lucky Day,,,35.0,,,,
Coda,,,43.0,,,,
Slay the Dragon,,,77.0,,,,
The Peanut Butter Falcon,,,81.0,,,,
The Kids Are Alright,,,63.0,,,,
