title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
,Christian Ditter,,,1.0,63.0,,
,Christopher Bell,,,1.0,48.0,,
,Christopher Cain,,,1.0,37.0,,
,Christopher Guest,,,1.0,51.0,,
,Christopher James Lang,,,1.0,10.0,,
,Christopher Morahan,,,1.0,63.0,,
,Christopher Murray,,,1.0,12.0,,
,"Christopher S. Rech, Brandon Kimber",,,1.0,74.0,,
,"Christopher Sanders, Dean DeBlois",,,1.0,78.0,,
,Chuck Russell,,,1.0,43.0,,
,Chuck Sheetz,,,1.0,62.0,,
,Claude Berri,,,1.0,68.0,,
,Claudio Fah,,,1.0,51.0,,
,Claudio Fäh,,,1.0,47.0,,
,Claudio Noce,,,1.0,9.0,,
,Clay Kaytis,,,1.0,63.0,,
,Clay Staub,,,1.0,44.0,,
,Clay Tweel,,,1.0,85.0,,
,Clayton Cogswell,,,1.0,26.0,,
,Clenét Verdi-Rose,,,1.0,13.0,,
,Clive Tonge,,,1.0,42.0,,
,"Clyde Geronimi, Jack Kinney, Hamilton Luske",,,1.0,61.0,,
,"Cody Cameron, Kris Pearn",,,1.0,64.0,,
,Cody Stokes,,,1.0,18.0,,
,"Coerte Voorhees, John Voorhees",,,1.0,5.0,,
,Coke Daniels,,,1.0,73.0,,
,Coky Giedroyc,,,1.0,18.0,,
,Cole Sharpe,,,1.0,26.0,,
,Colin Dench,,,1.0,53.0,,
,Colin Miller,,,1.0,9.0,,
,Colin Minihan,,,1.0,62.0,,
,Collin Schiffli,,,1.0,63.0,,
,Conrad Helten,,,1.0,50.0,,
,Constance Marks,,,1.0,77.0,,
,Cooper Karl,,,1.0,53.0,,
,Corbin Bernsen,,,1.0,29.0,,
,Corey Grant,,,1.0,12.0,,
,"Corey Yuen, Patrick Leung",,,1.0,27.0,,
,Cosmo Feilding-Mellen,,,1.0,49.0,,
,Cosmo Segurson,,,1.0,15.0,,
,Craig Anderson,,,1.0,35.0,,
,Craig Johnson,,,2.0,69.0,,
,Craig Macneill,,,1.0,54.0,,
,Crane Wilbur,,,1.0,43.0,,
,"Cristina Costantini, Kareem Tabsch",,,1.0,80.0,,
,Cristina Jacob,,,1.0,45.0,,
,Cyrus Nowrasteh,,,1.0,55.0,,
,César Rodrigues,,,1.0,48.0,,
,Cüneyt Kaya,,,1.0,47.0,,
,D Ho,,,1.0,10.0,,
,D. W. Young,,,1.0,57.0,,
,D.C. Hamilton,,,1.0,51.0,,
,D.J. Caruso,,,2.0,46.0,,
,Dado C. Lumibao,,,1.0,27.0,,
,Dagen K. W. Merrill,,,1.0,42.0,,
,Damien Leone,,,1.0,56.0,,
,"Dan Abraham, Trent Correy",,,1.0,65.0,,
,"Dan Fraga, William Lau",,,1.0,63.0,,
,Dan Harris,,,1.0,42.0,,
,"Dan Kwan, Daniel Scheinert",,,1.0,71.0,,
,Dan Mazer,,,1.0,34.0,,
,Dan Scanlon,,,2.0,75.0,,
,Dan Zeff,,,1.0,18.0,,
,Dani de la Orden,,,1.0,67.0,,
,Daniel Ablin,,,1.0,14.0,,
,Daniel Alfredson,,,2.0,43.0,,
,Daniel Barber,,,1.0,70.0,,
,Daniel Benmayor,,,2.0,53.0,,
,Daniel Burman,,,1.0,51.0,,
,Daniel F. Holmes,,,1.0,55.0,,
,Daniel Farrands,,,1.0,27.0,,
,Daniel Goldhaber,,,1.0,66.0,,
,Daniel Gordon,,,1.0,9.0,,
,"Daniel Lindsay, T.J. Martin",,,1.0,82.0,,
,Daniel Lusko,,,1.0,17.0,,
,Daniel Millican,,,1.0,6.0,,
,Daniel Monzón,,,1.0,42.0,,
,Daniel Petrie,,,1.0,8.0,,
,Daniel Sandu,,,1.0,45.0,,
,Daniel Schechter,,,1.0,58.0,,
,Daniel Smith,,,1.0,13.0,,
,Daniel Sánchez Arévalo,,,1.0,70.0,,
,Daniel Wilner,,,1.0,11.0,,
,Daniel Zirilli,,,1.0,25.0,,
,Daniela Goggi,,,1.0,36.0,,
,Danny Draven,,,1.0,10.0,,
,Danny Huston,,,1.0,18.0,,
,Danny Leiner,,,1.0,70.0,,
,Dante Tomaselli,,,1.0,14.0,,
,Darin Scott,,,1.0,56.0,,
,Dario Piana,,,1.0,48.0,,
,Darnell Martin,,,1.0,77.0,,
,"Darrell Rooney, Lynne Southerland",,,1.0,56.0,,
,Dave Higby,,,2.0,40.5,,
,Dave Mullins,,,1.0,64.0,,
,Dave Needham,,,1.0,51.0,,
,Dave O'Leske,,,1.0,38.0,,
,"Dave Skinner, Freddie Waters",,,1.0,40.0,,
,David Alford,,,1.0,80.0,,
,"David Allensworth, Monière",,,1.0,19.0,,
,David Anspaugh,,,1.0,25.0,,
,David Au,,,1.0,30.0,,
,"David Benioff, D.B. Weiss",,,1.0,40.0,,
,David Bruckner,,,1.0,61.0,,
,David Chirchirillo,,,1.0,59.0,,
,"David Chuang, Chen Kuan-chung",,,1.0,34.0,,
,David Dobkin,,,3.0,57.333333333333336,,
,David E. Talbert,,,2.0,60.5,,
,David Ellis,,,1.0,56.0,,
,David Fairhead,,,1.0,56.0,,
,David Feiss,,,1.0,46.0,,
,David Frazee,,,1.0,19.0,,
,David Grossman,,,1.0,33.0,,
,David Grubin,,,1.0,18.0,,
,David Guy Levy,,,1.0,49.0,,
,David Hackl,,,1.0,43.0,,
,David Hayter,,,1.0,45.0,,
,David Hemmings,,,2.0,12.0,,
,David Hunt,,,1.0,72.0,,
,David LaChapelle,,,1.0,75.0,,
,David Lam,,,1.0,12.0,,
,David Mackay,,,1.0,38.0,,
,David Marmor,,,1.0,63.0,,
,David Miller,,,1.0,48.0,,
,David Mirkin,,,1.0,60.0,,
,"David Morris, Jacqui Morris",,,1.0,43.0,,
,David Oelhoffen,,,1.0,43.0,,
,David Ogden,,,1.0,10.0,,
,David Paul Meyer,,,2.0,69.0,,
,David Raymond,,,1.0,47.0,,
,David Ross,,,1.0,45.0,,
,David Schalko,,,1.0,13.0,,
,David Semel,,,1.0,40.0,,
,David Serrano,,,1.0,37.0,,
,David Silberg,,,1.0,21.0,,
,David Veloz,,,1.0,61.0,,
,David Wain,,,1.0,63.0,,
,David Wall,,,1.0,23.0,,
,David Winters,,,1.0,56.0,,
,David Wnendt,,,1.0,70.0,,
,David Yarovesky,,,1.0,64.0,,
,David Zeiger,,,1.0,39.0,,
,Davis Guggenheim,,,3.0,73.66666666666667,,
,Dawn Porter,,,1.0,57.0,,
,Dean Cundey,,,1.0,43.0,,
,Dean DeBlois,,,1.0,81.0,,
,Dean Devlin,,,1.0,62.0,,
,Declan Dale,,,1.0,33.0,,
,"Declan Donnellan, Nick Ormerod",,,1.0,44.0,,
,Declan O'Brien,,,1.0,35.0,,
,Deepa Mehta,,,1.0,58.0,,
,Demetri Martin,,,1.0,52.0,,
,Denis Do,,,1.0,76.0,,
,Denis Hennelly,,,1.0,45.0,,
,Denis Villeneuve,,,1.0,67.0,,
,Deniz Gamze Ergüven,,,1.0,38.0,,
,Dennis Bartok,,,1.0,36.0,,
,Dennis Dugan,,,3.0,51.333333333333336,,
,Dennis Hopper,,,1.0,37.0,,
,"Dennis Scholl, Kareem Tabsch",,,1.0,35.0,,
,Dereck Joubert,,,1.0,15.0,,
,Derek Peck,,,1.0,33.0,,
,Derick Martini,,,1.0,41.0,,
,Derrick Sims,,,1.0,16.0,,
,Destin Daniel Cretton,,,1.0,84.0,,
,Devashish Makhija,,,1.0,33.0,,
,Devin Adair,,,1.0,15.0,,
,Dewey Nicks,,,1.0,37.0,,
,Dexter Fletcher,,,1.0,68.0,,
,Dharmendra Suresh Desai,,,1.0,59.0,,
,Dhilip Kumar,,,1.0,35.0,,
,Dianne Dreyer,,,1.0,17.0,,
,Diarmuid Lawrence,,,1.0,34.0,,
,Dick Rickard,,,1.0,54.0,,
,Diego Cohen,,,1.0,18.0,,
,Diego Enrique Osorno,,,1.0,24.0,,
,Diego Kaplan,,,1.0,34.0,,
,Diego Lerman,,,1.0,21.0,,
,Dilip Mehta,,,1.0,21.0,,
,Dinesh Vijan,,,1.0,36.0,,
,Ding-Lin Wang,,,1.0,14.0,,
,"Director Alex Winter goes inside the biggest global corruption scandal in history that was uncovered by hundreds of journalists, working in secret and at enormous risk.",,,1.0,62.0,,
,"Director Jennifer Kent (""The Babadook"") tells the sweeping tale of a young woman's quest for revenge set in 1825 against the perilous and unforgiving terrain of Tasmania.",,,1.0,73.0,,
,Dito Montiel,,,1.0,38.0,,
,Domenico de Feudis,,,1.0,40.0,,
,"Don Bitters, Geoff Reisner",,,1.0,24.0,,
,Don Chaffey,,,1.0,20.0,,
,"Don Hall, Chris Williams",,,1.0,80.0,,
,Don Hartman,,,1.0,7.0,,
,Don McKellar,,,1.0,66.0,,
,Don Medford,,,1.0,50.0,,
,Don Roos,,,1.0,67.0,,
,Don Sharp,,,1.0,47.0,,
,Donald Petrie,,,2.0,53.5,,
,Donick Cary,,,1.0,61.0,,
,Donovan Cook,,,1.0,58.0,,
,"Doron Paz, Yoav Paz",,,1.0,59.0,,
,Douglas Attal,,,1.0,61.0,,
,Douglas McGarth,,,1.0,72.0,,
,Drew Casson,,,1.0,25.0,,
,Drew Gabreski,,,1.0,33.0,,
,Drew Heriot,,,1.0,45.0,,
,Drew Waters,,,1.0,32.0,,
,Dustin Marcellino,,,1.0,41.0,,
,Dustin McKenzie,,,1.0,59.0,,
,Dwight H. Little,,,1.0,44.0,,
,Dwight Little,,,1.0,42.0,,
,"Dylan Bank, Daniel DiMauro, Morgan Pehme",,,1.0,77.0,,
,Dylan Howitt,,,1.0,44.0,,
,Dylan Mohan Gray,,,1.0,42.0,,
,Earl Bellamy,,,1.0,17.0,,
,Ed Perkins,,,1.0,78.0,,
,Ed Winfield,,,1.0,8.0,,
,Edoardo Winspeare,,,1.0,10.0,,
,Edward Burns,,,1.0,41.0,,
,Edwin,,,2.0,30.5,,
,Eeshwar Nivas,,,1.0,17.0,,
,Ekachai Uekrongtham,,,1.0,50.0,,
,Elan Bogarín & Jonathan Bogarín,,,1.0,68.0,,
,"Elan Dassani, Rajeev Dassani",,,1.0,48.0,,
,Elia K. Schneider,,,1.0,23.0,,
,Elio Petri,,,1.0,43.0,,
,Elisa Fuksas,,,1.0,13.0,,
,Elissa Down,,,1.0,62.0,,
,Elite Zexer,,,1.0,70.0,,
,Elizabeth Allen,,,1.0,66.0,,
,"Elizabeth Rohrbaugh, Daniel Powell",,,1.0,49.0,,
,"Elizabeth Vasarhelyi, Jimmy Chin",,,1.0,83.0,,
,Elle Callahan,,,1.0,53.0,,
,"Ellen Page, Ian Daniel",,,1.0,68.0,,
,Ellie Kanner-Zuckerman,,,1.0,20.0,,
,Ellory Elkayem,,,1.0,22.0,,
,Elvira Lind,,,1.0,57.0,,
,Emanuel Hoss-Desmarais,,,1.0,51.0,,
,Emelie Lindblom,,,1.0,48.0,,
,Emil Ben-Shimon,,,1.0,77.0,,
,Emilio Martínez Lázaro,,,1.0,46.0,,
,Emily Aguilar,,,1.0,18.0,,
,Emily Moss Wilson,,,1.0,31.0,,
,Emmanuel Courcol,,,1.0,28.0,,
,Emmanuel Mouret,,,1.0,62.0,,
,"Emmanuel Osei-Kuffour,  Jr",,,1.0,76.0,,
,Emmett Malloy,,,1.0,68.0,,
,Enah Johnscott,,,1.0,14.0,,
,Eric Bilitch,,,1.0,26.0,,
,Eric D. Cabello Díaz,,,1.0,22.0,,
,"Eric Goode, Rebecca Chaiklin",,,1.0,68.0,,
,Eric Hurt,,,1.0,28.0,,
,Eric Meza,,,1.0,42.0,,
,Ericson Core,,,1.0,80.0,,
,Erik Bloomquist,,,2.0,27.0,,
,Erik Canuel,,,1.0,35.0,,
,Erik Nelson,,,1.0,69.0,,
,Ernest R. Dickerson,,,1.0,74.0,,
,Ernesto Diaz Espinoza,,,1.0,53.0,,
,Ernst Gossner,,,1.0,20.0,,
,Ernst Lubitsc,,,1.0,49.0,,
,Esteban Crespo,,,2.0,36.0,,
,Esteban Sapir,,,1.0,62.0,,
,Esteban Vidal,,,1.0,8.0,,
,Estela Renner,,,1.0,23.0,,
,Ethan Hawke,,,1.0,73.0,,
,Etienne Sauret,,,1.0,22.0,,
,Eugenio Derbez,,,1.0,70.0,,
,Eva Orner,,,1.0,70.0,,
,Evan Katz,,,1.0,52.0,,
,Evgeny Afineevsky,,,1.0,82.0,,
,Eylem Kaftan,,,1.0,12.0,,
,Eytan Rockaway,,,1.0,62.0,,
,Ezhil,,,1.0,11.0,,
,Fab Five Freddie,,,1.0,56.0,,
,Fabrice Du Welz,,,1.0,55.0,,
,Fajar Bustomi,,,1.0,15.0,,
,Faozan Rizal,,,1.0,37.0,,
,Farah Nabulsi,,,1.0,54.0,,
,Faris Godus,,,1.0,49.0,,
,Farishad I. Latjuba,,,1.0,9.0,,
,Fazila Allana,,,1.0,8.0,,
,Federico Lemos,,,1.0,43.0,,
,Federico Veiroj,,,2.0,29.0,,
,Fei Xing,,,1.0,21.0,,
,"Felix Van Groeningen, Felix van Groeningen",,,1.0,54.0,,
,"Femi Oyeniran, Kalvadour Peterson",,,1.0,20.0,,
,"Femi Oyeniran, Nicky Slimting Walker",,,1.0,15.0,,
,Ferdinando Cito Filomarino,,,1.0,50.0,,
,Fermín Muguruza,,,1.0,10.0,,
,Fernando Coimbra,,,1.0,53.0,,
,Fernando Lebrija,,,1.0,52.0,,
,Fernando Meirelles,,,1.0,79.0,,
,"Fernando Meirelles, Katia Lund",,,1.0,88.0,,
,Ferzan Ozpetek,,,1.0,7.0,,
,Filip Kovacevic,,,1.0,11.0,,
,Filip Renc,,,1.0,32.0,,
,Filip Zylber,,,1.0,39.0,,
,Fisher Stevens,,,1.0,73.0,,
,Florian Henckel von Donnersmarck,,,2.0,68.0,,
,Fran Strine,,,1.0,52.0,,
,Francesco Carnesecchi,,,1.0,22.0,,
,Francis Ford Coppola,,,2.0,59.5,,
,Francis Megahy,,,1.0,15.0,,
,Francisco Macri,,,1.0,49.0,,
,Franck Phelizon,,,1.0,21.0,,
,Franck Ribière,,,1.0,39.0,,
,Frank Capra,,,1.0,71.0,,
,"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",,,1.0,16.0,,
,Frank E. Abney III,,,1.0,56.0,,
,"Frank Marshall, Rob Minkoff",,,1.0,45.0,,
,Frank McDonald,,,1.0,17.0,,
,"Frank Oz, Jim Henson",,,1.0,73.0,,
,Frank W Chen,,,1.0,16.0,,
,Franklin J. Schaffner,,,1.0,67.0,,
,Fred Dekker,,,1.0,67.0,,
,Fred Grivois,,,1.0,47.0,,
,Fred M. Wilcox,,,1.0,79.0,,
,Fred Schepisi,,,1.0,60.0,,
,Freddie Francis,,,1.0,54.0,,
,Frederick Cipoletti,,,1.0,14.0,,
,Frederik Du Chau,,,1.0,42.0,,
,Fritz Böhm,,,1.0,55.0,,
,Frédéric Tcheng,,,1.0,72.0,,
,G.J. Echternkamp,,,1.0,27.0,,
,Gabe Klinger,,,1.0,55.0,,
,"Gabriel Clarke, Torquil Jones",,,1.0,66.0,,
,Gabriel Grieco,,,1.0,24.0,,
,Gabriela Tagliavini,,,1.0,44.0,,
,Gabriele Muccino,,,3.0,60.333333333333336,,
,Galt Neiderhoffer,,,1.0,36.0,,
,Garrett Batty,,,1.0,15.0,,
,Garth Davis,,,1.0,60.0,,
,Gary Burns,,,1.0,17.0,,
,Gary Chapman,,,1.0,46.0,,
,"Gary Cohen, Ross Hockrow",,,1.0,30.0,,
,Gary Mak,,,1.0,15.0,,
,Gary Michael Schultz,,,1.0,42.0,,
,Gary Ross,,,2.0,68.0,,
,"Gary Selvaggio, Paul Sabella",,,1.0,30.0,,
,Gary Wheeler,,,1.0,28.0,,
,Gary Yates,,,1.0,48.0,,
,Gaspar Antillo,,,1.0,66.0,,
,Gaurav Seth,,,1.0,19.0,,
,Gauravv K Chawla,,,1.0,39.0,,
,Gauri Shinde,,,1.0,71.0,,
,Gautam Joglekar,,,1.0,4.0,,
,Gavin Fitzgerald,,,1.0,66.0,,
,Geoff Anderson,,,2.0,19.5,,
,Geoffrey Wright,,,1.0,68.0,,
,Geordie Day,,,1.0,20.0,,
,George Butler,,,1.0,41.0,,
,George Gallo,,,2.0,50.0,,
,George Kaczender,,,1.0,19.0,,
,George Mendeluk,,,1.0,9.0,,
,George Tillman Jr.,,,1.0,75.0,,
,George Ungar,,,1.0,44.0,,
,George Waggner,,,1.0,41.0,,
,Gerald Rascionato,,,1.0,15.0,,
,Gerard Barrett,,,1.0,54.0,,
,Gerardo Gatica,,,1.0,33.0,,
,Gerardo Olivares,,,1.0,56.0,,
,"Gervasio Iglesias, Alexis Morante",,,1.0,9.0,,
,Gianni Di Gregorio,,,1.0,24.0,,
,Gideon Raff,,,2.0,44.5,,
,Gil Cates Jr.,,,1.0,21.0,,
,Gillian Armstrong,,,1.0,36.0,,
,Gillian Grisman,,,1.0,34.0,,
,"Giorgio Serafini, Shawn Sourgose",,,1.0,21.0,,
,Gireesaaya,,,1.0,13.0,,
,Glendyn Ivin,,,1.0,65.0,,
,Glenn Gordon Caron,,,1.0,27.0,,
,Gokul,,,1.0,20.0,,
,Gonzalo Bendala,,,1.0,43.0,,
,Gordon Chan,,,1.0,52.0,,
,Gordon Willis,,,1.0,42.0,,
,Graeme Clifford,,,1.0,70.0,,
,"Graham Phillips, Parker Phillips",,,1.0,34.0,,
,Grant Heslov,,,1.0,59.0,,
,"Grant S. Johnson, Ippsie Jones",,,1.0,15.0,,
,Greg A. Sager,,,1.0,56.0,,
,Greg Coolidge,,,1.0,46.0,,
,Greg Dorchak,,,1.0,22.0,,
,Greg Emetaz,,,1.0,20.0,,
,Greg Kohs,,,1.0,85.0,,
,Greg Kwedar,,,1.0,55.0,,
,Greg Mottola,,,1.0,79.0,,
,Greg Pritikin,,,1.0,48.0,,
,"Greg Rankin, TJ Sullivan",,,1.0,27.0,,
,Greg Whiteley,,,1.0,58.0,,
,Gregg Bishop,,,1.0,57.0,,
,Gregg Champion,,,1.0,40.0,,
,Gregory Gieras,,,1.0,4.0,,
,Gregory Hatanaka,,,1.0,8.0,,
,Gregory Jacobs,,,1.0,25.0,,
,Gregory Lacava,,,1.0,84.0,,
,Gregory Plotkin,,,1.0,46.0,,
,Griff Furst,,,1.0,32.0,,
,Griffin Dunne,,,1.0,77.0,,
,Gurinder Chadha,,,2.0,68.0,,
,Gurudev Bhalla,,,1.0,7.0,,
,H. Bruce Humberstone,,,1.0,51.0,,
,Haissam Hussain,,,1.0,19.0,,
,Hal Ashby,,,1.0,73.0,,
,Ham Tran,,,1.0,11.0,,
,Han Kwang Il,,,1.0,78.0,,
,Hang-Jun Jang,,,1.0,77.0,,
,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",,,1.0,73.0,,
,Hansal Mehta,,,2.0,43.5,,
,Harald Reinl,,,1.0,40.0,,
,Harish Vyas,,,1.0,19.0,,
,Harjit Singh,,,1.0,30.0,,
,Harmesh Malhotra,,,1.0,16.0,,
,Harmony Korine,,,1.0,58.0,,
,Harrison Smith,,,1.0,27.0,,
,"Harry Elfont, Deborah Kaplan",,,1.0,56.0,,
,"Harry Horner, John Beal",,,1.0,3.0,,
,"Harry Thomason, Nickolas Perry",,,1.0,27.0,,
,Harry Watt,,,1.0,14.0,,
,"Harvey Glazer, Stuart Stone",,,1.0,17.0,,
,Harvey Keith,,,1.0,1.0,,
,Harvey Lowry,,,1.0,35.0,,
,Hasan Karacadağ,,,1.0,25.0,,
,Hasraf Dulull,,,1.0,42.0,,
,Hatem Khraiche,,,1.0,56.0,,
,Heath Davis,,,1.0,19.0,,
,"Heber Cannon, Mariah Moore, Marston Sawyers",,,1.0,42.0,,
,Helena Coan,,,1.0,59.0,,
,Hemant Madhukar,,,1.0,20.0,,
,Henri Wong,,,1.0,12.0,,
,Henrik Martin Dahlsbakken,,,1.0,29.0,,
,Henrik Ruben Genz,,,1.0,44.0,,
,Henry Jaglom,,,1.0,20.0,,
,"Henry Joost, Ariel Schulman",,,1.0,56.0,,
,Henry Koster,,,1.0,74.0,,
,Henry Levin,,,1.0,71.0,,
,Herbert L. Strock,,,1.0,23.0,,
,Herbert Ross,,,2.0,53.5,,
,Hikari,,,1.0,64.0,,
,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",,,1.0,79.0,,
,Hiroshi Katagiri,,,1.0,36.0,,
,Hitesh Kewalya,,,1.0,62.0,,
,Holger Tappe,,,1.0,40.0,,
,Holly Sloan,,,1.0,50.0,,
,Honey Trehan,,,1.0,69.0,,
,Hong Khaou,,,1.0,50.0,,
,Houda Benyamina,,,1.0,76.0,,
,Howard Hawks,,,1.0,83.0,,
,"Howard Hawks, William Wyler, Richard Rosson",,,1.0,46.0,,
,Howard Hughes,,,1.0,44.0,,
,"Howard Kress, Harold F. Kress",,,1.0,11.0,,
,Howard McCain,,,1.0,52.0,,
,Hoyt Yeatman,,,1.0,45.0,,
,Hrishikesh Mukherjee,,,4.0,47.5,,
,Huang Hsin-Yao,,,1.0,37.0,,
,Huang Lei,,,1.0,27.0,,
,Hugh Hudson,,,1.0,47.0,,
,Hugh WIlson,,,1.0,62.0,,
,Hung Tsin-yin,,,1.0,47.0,,
,Huw Cordey,,,1.0,62.0,,
,Ian Cheney,,,1.0,55.0,,
,Ian MacAllister McDonald,,,1.0,55.0,,
,Ian Olds,,,1.0,28.0,,
,Ian Samuels,,,1.0,67.0,,
,Ib Melchior,,,1.0,37.0,,
,Icíar Bollaín,,,1.0,76.0,,
,"Ida Lupino, Elmer Clifton",,,1.0,38.0,,
,Iginio Straffi,,,2.0,28.0,,
,"Igor Kovalyov, Norton Virgien",,,1.0,61.0,,
,Ildiko Enyedi,,,1.0,78.0,,
,Ilya Naishuller,,,1.0,59.0,,
,Indrajit Nattoji,,,1.0,12.0,,
,Irek Dobrowolski,,,1.0,69.0,,
,Iris Shim,,,1.0,18.0,,
,"Isaac Florentine, Scott Adkins",,,1.0,55.0,,
,Isaac Halasima,,,1.0,38.0,,
,Isaac Rentz,,,1.0,60.0,,
,Isabel Coixet,,,1.0,57.0,,
,Ivan Sen,,,1.0,68.0,,
,Ivan Silvestrini,,,1.0,48.0,,
,Ivona Juka,,,1.0,29.0,,
,Ivy Ho,,,1.0,19.0,,
,J. Sabarish,,,1.0,77.0,,
,J.C. Falcón,,,1.0,34.0,,
,J.M. Berrios,,,1.0,56.0,,
,J.R. Sawyers,,,1.0,45.0,,
,J.T. Petty,,,1.0,53.0,,
,JD Cohen,,,1.0,59.0,,
,JJ Fredrick,,,1.0,33.0,,
,Jack Cutting,,,1.0,52.0,,
,Jack Donohue,,,1.0,50.0,,
,"Jack Kinney, W. Roberts, Hamilton Luske",,,1.0,63.0,,
,Jack Nicholson,,,1.0,53.0,,
,Jack Perez,,,1.0,60.0,,
,Jack Sholder,,,1.0,39.0,,
,Jack Topalian,,,1.0,45.0,,
,Jack Zagha Kababie,,,1.0,44.0,,
,Jacob Gentry,,,1.0,50.0,,
,Jacob Rosenberg,,,1.0,28.0,,
,Jacques Kluger,,,1.0,25.0,,
,Jagdeep Sidhu,,,1.0,39.0,,
,Jakob Lass,,,1.0,9.0,,
,Jakob Verbruggen,,,1.0,75.0,,
,Jakub Piątek,,,1.0,41.0,,
,Jamal Hill,,,1.0,29.0,,
,James Cameron,,,1.0,81.0,,
,"James Cameron, Steven Quale",,,1.0,66.0,,
,James Cruze,,,1.0,14.0,,
,James D.R. Hickox,,,1.0,16.0,,
,James F. Collier,,,2.0,26.5,,
,James Gartner,,,1.0,69.0,,
,James Haslam,,,1.0,39.0,,
,James Ivory,,,1.0,61.0,,
,James Kent,,,1.0,44.0,,
,"James Kondelik, Jon Kondelik",,,1.0,18.0,,
,James L. Edwards,,,1.0,8.0,,
,James Manera,,,1.0,29.0,,
,James Moll,,,1.0,83.0,,
,James Orr,,,1.0,40.0,,
,James Sadwith,,,1.0,65.0,,
,James Schroeder,,,1.0,22.0,,
,James Shanks,,,1.0,5.0,,
,James Vasanthan,,,1.0,26.0,,
,Jami,,,1.0,15.0,,
,Jan Komasa,,,1.0,72.0,,
,Jan Pinkava,,,1.0,79.0,,
,Jang Chang-won,,,1.0,55.0,,
,Jang Hoon,,,1.0,78.0,,
,"Jarrad Paul, Andrew Mogel",,,1.0,45.0,,
,Jasmin Dizdar,,,1.0,23.0,,
,Jasmine D'Souza,,,1.0,10.0,,
,Jason Cohen,,,1.0,63.0,,
,Jason Krawczyk,,,1.0,68.0,,
,Jason Woliner,,,1.0,70.0,,
,Jason Zada,,,1.0,69.0,,
,Jason Zink,,,1.0,9.0,,
,Jaume Collet-Serra,,,2.0,63.0,,
,"Javier Ambrossi, Javier Calvo",,,1.0,65.0,,
,Javier Ruiz Caldera,,,2.0,52.5,,
,Jay Arnold,,,1.0,16.0,,
,Jay Bulger,,,1.0,31.0,,
,Jay Chandrasekhar,,,1.0,40.0,,
,Jay Craven,,,1.0,14.0,,
,"Jay Duplass, Mark Duplass",,,1.0,65.0,,
,Jay Kanzler,,,1.0,11.0,,
,"Jay Karas, Demetri Martin",,,1.0,54.0,,
,Jay Lee,,,1.0,15.0,,
,Jay Oliva,,,1.0,70.0,,
,Jay Surridge,,,1.0,8.0,,
,Jayaprakash Radhakrishnan,,,1.0,21.0,,
,Jean Paul Lal,,,1.0,46.0,,
,Jean-Claude Flamand-Barny,,,1.0,11.0,,
,Jean-Claude La Marre,,,2.0,18.5,,
,Jean-Francois Laguionie,,,1.0,18.0,,
,Jean-François Richet,,,1.0,69.0,,
,Jean-Marc Vallée,,,1.0,81.0,,
,Jean-Marie Pallardy,,,1.0,28.0,,
,Jean-Paul Salomé,,,1.0,59.0,,
,Jean-Pierre Devillers,,,1.0,6.0,,
,Jeannot Szwarc,,,1.0,55.0,,
,"Jedd Wider, Todd Wider",,,1.0,69.0,,
,Jeferson De,,,1.0,42.0,,
,Jeff Blyth,,,1.0,31.0,,
,Jeff Deverett,,,1.0,22.0,,
,Jeff Garlin,,,1.0,48.0,,
,Jeff Gipson,,,1.0,24.0,,
,Jeff Gordon,,,1.0,21.0,,
,Jeff Kanew,,,1.0,23.0,,
,Jeff Nichols,,,1.0,73.0,,
,Jeff Tomsic,,,1.0,51.0,,
,"Jefferson Moore, Shane Sooter",,,1.0,24.0,,
,Jeffrey Bloom,,,1.0,43.0,,
,Jeffrey C. Bell,,,1.0,12.0,,
,Jeffrey G. Hunt,,,1.0,45.0,,
,Jeffrey Nachmanoff,,,1.0,66.0,,
,Jeffrey Travis,,,1.0,16.0,,
,Jeffrey Walker,,,1.0,67.0,,
,Jelle de Jonge,,,1.0,28.0,,
,Jen McGowan,,,1.0,62.0,,
,Jenn Page,,,1.0,71.0,,
,Jennifer Peedom,,,1.0,74.0,,
,Jeremiah Chechik,,,1.0,59.0,,
,Jeremiah S. Chechik,,,1.0,46.0,,
,Jeremy Grant,,,1.0,17.0,,
,Jeremy Podeswa,,,1.0,68.0,,
,Jeremy Rush,,,1.0,65.0,,
,Jeremy Sims,,,1.0,66.0,,
,Jeremy Thomas,,,1.0,66.0,,
,"Jerry Rothwell, Reuben Atlas",,,1.0,76.0,,
,Jerry Seinfeld,,,1.0,21.0,,
,Jesse Peretz,,,1.0,63.0,,
,Jesse V. Johnson,,,4.0,62.75,,
,"Jesse V. Johnson, Jesse Johnson",,,1.0,57.0,,
,Jesse Warn,,,1.0,26.0,,
,Jesse Zwick,,,1.0,56.0,,
,Jessica Yu,,,1.0,37.0,,
,Jessie Nelson,,,1.0,62.0,,
,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",,,1.0,56.0,,
,"Jill Bauer, Ronna Gradus",,,1.0,63.0,,
