,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
49,s50,TV Show,Shark Tank,,,United States,9-Oct-21,2009,TV-PG,12 Seasons,Reality,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.",hulu,69.0,tt1442550,Reality
50,s51,Movie,Yashahime: Princess Half-Demon,,,Japan,9-Oct-21,2020,2 Seasons,,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past.",hulu,48.0,tt12287748,Anime
51,s52,TV Show,General Hospital,,,United States,8-Oct-21,1963,TV-14,1 Season,Drama,"The wealthy Quartermaine family continues to be a looming presence in the town of Port Charles, with interests in much of the city's business. Characters come and go, but viewers can always count on at least one Quartermaine or Spencer to create havoc.",hulu,50.0,tt0056758,Drama
52,s53,Movie,Jacinta,,,,8-Oct-21,2021,TV-MA,105 min,Documentaries,"An intimate portrait of mothers and daughters and the effects of trauma, Jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime.",hulu,29.0,tt11514252,Documentaries
58,s59,TV Show,Castle,,,,6-Oct-21,2009,TV-14,8 Seasons,"Comedy, Crime, Drama","Rick Castle, a famous crime novelist and rockstar of the literary world who finds inspiration for a new character from an unlikely source - the smart, beautiful, no-nonsense Det. Kate Beckett - whether she likes it or not. His fame gives him an all-access pass to her cases and he's working her last nerve. But somehow, together, they're the perfect partners in crime.",hulu,78.0,tt1219024,Comedy
61,s62,Movie,Maggie's Plan,,,,4-Oct-21,2015,R,99 min,"Comedy, Drama, Romance","A young woman (Gerwig) set on having a child, catapults herself into a love triangle with an academic (Hawke) & his eccentric wife (Moore).",hulu,65.0,tt3471098,Comedy
63,s64,Movie,The Program,,,,4-Oct-21,1993,R,112 min,"Action, Adventure, Drama",An action-packed story about a group of Top 10 college football athletes.,hulu,63.0,tt0107889,Action
64,s65,Movie,Unfaithful,,,,4-Oct-21,2002,R,124 min,"Drama, Romance, Thriller",Diane Lane earned a 2002 Best Actress Oscar(R) nomination for her role as a housewife who gets blown into a whirlwind affair.,hulu,64.0,tt0250797,Drama
65,s66,Movie,Finding Your Feet,,,United Kingdom,3-Oct-21,2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",hulu,66.0,tt4538916,Comedy
67,s68,TV Show,Saturday Night Live,,,United States,3-Oct-21,1975,TV-14,23 Seasons,"Comedy, Late Night, Sketch Comedy",NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,hulu,64.0,tt0072562,Comedy
72,s73,Movie,Air Force One,,,,1-Oct-21,1997,R,125 min,"Action, Adventure, Horror",Harrison Ford and Gary Oldman star in Wolfgang Petersen's thriller about the hijacking of Air Force One with the First Family on board.,hulu,66.0,tt0118571,Action
73,s74,Movie,Ali,,,,1-Oct-21,2001,R,157 min,"Black Stories, Drama, History","A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier.",hulu,65.0,tt0248667,Black Stories
75,s76,TV Show,Big Sky,,,United States,1-Oct-21,2020,TV-14,2 Seasons,"Crime, Drama","Storyteller David E. Kelly (""Big Little Lies"") presents a series about private detectives Cassie Dewell and Cody Hoyt, who join forces with Cody's estranged wife and ex-cop, Jenny Hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in Montana. When they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. Based on the series of books by C.J. Box, the series stars Katheryn Winnick, Kylie Bunbury and Ryan Phillippe.",hulu,59.0,tt11794642,Crime
78,s79,Movie,Boxcar Bertha,,,,1-Oct-21,1972,R,89 min,"Crime, Drama","Set in the Depression era of the 1930s, a young woman and three men rob trains and plan a kidnapping. The men are caught and the young woman becomes a prostitute. Based on ""Sister of the Road"" by Boxcar Bertha Thomson.",hulu,57.0,tt0068309,Crime
79,s80,TV Show,Cake,,,United States,1-Oct-21,2019,TV-MA,5 Seasons,Comedy,"""Cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. Featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). There's something for everyone and plenty to go around.",hulu,34.0,tt7715988,Comedy
80,s81,Movie,Cedar Rapids,,,,1-Oct-21,2011,R,87 min,Comedy,"A weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy.",hulu,65.0,tt1477837,Comedy
81,s82,Movie,Chasing Papi,,,,1-Oct-21,2003,PG,80 min,"Comedy, Drama, Romance",A Latino Casanova courts three Hispanic women in three different cities...until they find out about one another in this comedy.,hulu,47.0,tt0323572,Comedy
82,s83,Movie,Class,,,,1-Oct-21,1983,R,99 min,"Comedy, Drama","Complications arise when a lucky, lustful prep school teen gets a chance to lose his innocence to an older woman.",hulu,49.0,tt0085346,Comedy
83,s84,Movie,Clifford,,,,1-Oct-21,1994,PG,90 min,"Comedy, Family, Kids",Martin Short is hilarious as a bratty 10-year-old kid who wreaks havoc while visiting his hapless uncle Charles Grodin in this comedy.,hulu,45.0,tt0109447,Comedy
84,s85,Movie,Clockstoppers,,,,1-Oct-21,2002,PG,94 min,"Action, Adventure, Comedy",High-school teen Jesse Bradford tries out his scientist dad's new invention: a watch that can freeze time.,hulu,46.0,tt0157472,Action
85,s86,Movie,Code 46,,,,1-Oct-21,2004,R,93 min,"Drama, Romance, Science Fiction",Tim Robbins is an investigator in a dystopian future whose attraction to a mysterious woman lands him on the wrong side of the law.,hulu,59.0,tt0345061,Drama
86,s87,Movie,Crimson Tide,,,,1-Oct-21,1995,R,116 min,"Drama, Horror, Thriller",Gene Hackman and Denzel Washington star as a submarine commander and his top lieutenant who wind up in a standoff during a nuclear crisis.,hulu,77.0,tt0112740,Drama
88,s89,Movie,Dead of Winter,,,,1-Oct-21,1987,R,101 min,"Horror, Thriller",An out-of-work actress is lured to an isolated house for an audition that takes a horrifying twist in this horror thriller.,hulu,61.0,tt0092842,Horror
89,s90,Movie,Diary of a Wimpy Kid: Rodrick Rules,,,,1-Oct-21,2011,PG,100 min,"Comedy, Family, Kids",Young underdog Greg Heffley is back for torment at the hands of his brother Rodrick and more in this second hilarious flick in the series.,hulu,61.0,tt1650043,Comedy
90,s91,Movie,"Double, Double, Toil and Trouble",,,,1-Oct-21,1993,,97 min,"Adventure, Family, Kids","Determined twins (Mary-Kate Olsen, Ashley Olsen) try to trick an evil aunt (Cloris Leachman) out of a magic moonstone and save their family home.",hulu,50.0,tt0106763,Adventure
92,s93,Movie,Edge of the World,,,,1-Oct-21,2021,,104 min,"Adventure, Drama, History","The true story of British adventurer Sir James Brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than England in 1840's Borneo.",hulu,41.0,tt3006472,Adventure
94,s95,Movie,Exorcist: The Beginning,,,,1-Oct-21,2004,R,113 min,Horror,Prequel. Exorcist: The Beginning traces the story of Father Merrin back to his first encounter with the Devil during his missionary work in Africa.,hulu,38.0,tt0204313,Horror
95,s96,Movie,Flatliners,,,,1-Oct-21,1990,R,114 min,"Drama, Horror, Science Fiction","Julia Roberts, Kiefer Sutherland and Kevin Bacon star in this ""edge of your seat"" thriller as medical students who push themselves to the boundaries of life itself and touch the face of death. This offbeat drama is directed by Joel Schumacher.",hulu,62.0,tt0099582,Drama
97,s98,Movie,GoldenEye,,,"United Kingdom, United States",1-Oct-21,1995,PG-13,130 min,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base.",hulu,73.0,tt0113189,Action
98,s99,Movie,Goldfinger,,,United Kingdom,1-Oct-21,1965,PG,110 min,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth.",hulu,84.0,tt0058150,Action
99,s100,Movie,Happy Feet,,,,1-Oct-21,2006,TV-PG,101 min,"Action, Adventure, Comedy",An emperor penguin expresses himself through tap-dancing.,hulu,67.0,tt0366548,Action
100,s101,Movie,Happy Feet Two,,,,1-Oct-21,2011,PG,100 min,"Adventure, Comedy, Family",Tap-dancing penguin Mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.,hulu,57.0,tt1402488,Adventure
101,s102,Movie,House of Games,,,,1-Oct-21,1987,R,102 min,Thriller,"An uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars.",hulu,80.0,tt0093223,Thriller
102,s103,Movie,Intersection,,,,1-Oct-21,1994,R,99 min,"Drama, Romance","In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist.",hulu,40.0,tt0110146,Drama
104,s105,Movie,Light It Up,,,,1-Oct-21,1999,R,99 min,"Black Stories, Drama, LGBTQ+","The topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. After a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students.",hulu,58.0,tt0172726,Black Stories
106,s107,Movie,Mad Max,,,,1-Oct-21,1979,R,93 min,"Action, Adventure, Science Fiction",A chilling drama that combines a futuristic plot with high speed car and motorcycle action. A strange apocalyptic death game between nomadic bikers and a handful of cops.,hulu,72.0,tt0079501,Action
107,s108,Movie,Madhouse,,,,1-Oct-21,2004,,91 min,"Horror, Thriller","When a staff nurse is murdered at a notorious insane asylum, Clark Stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients.",hulu,39.0,tt0363276,Horror
108,s109,Movie,Maze,,,"Ireland, United Kingdom, Germany, Sweden",1-Oct-21,2017,93 min,,"Action, Adventure, Crime","Based on the incredible true story of the 1983 mass break-out of 38 IRA prisoners from the HMP Maze high security prison, one prisoner engineers the largest European prison escape since World War II.",hulu,56.0,tt5752606,Action
109,s110,Movie,My Best Friend's Wedding,,,United States,1-Oct-21,1997,PG-13,105 min,"Comedy, Romance","When a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. Stars Julia Roberts, Dermot Mulroney and Cameron Diaz.",hulu,66.0,tt0119738,Comedy
110,s111,Movie,Peeples,,,,1-Oct-21,2013,PG-13,95 min,"Comedy, Romance",Sparks fly when Wade Walker (Craig Robinson) crashes the preppy Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's (Kerry Washington) hand in marriage,hulu,54.0,tt1699755,Comedy
111,s112,Movie,Queen of the Damned,,,,1-Oct-21,2002,R,101 min,Horror,"After a decades-long slumber, the vampire Lestat becomes a rock star whose music awakens the queen of all vampires, Akasha, who embarks on a mission to make Lestat her king.",hulu,51.0,tt0238546,Horror
113,s114,Movie,Remo Williams: The Adventure Begins,,,,1-Oct-21,1985,PG-13,121 min,"Action, Adventure",A New York City cop is recruited by a super-secret quasi-governmental agency to avenge society's wrongs by being trainded by a Korean Sinanju master.,hulu,56.0,tt0089901,Action
114,s115,Movie,Resident Evil: Retribution,,,,1-Oct-21,2012,R,96 min,"Action, Adventure, Horror",Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,hulu,48.0,tt1855325,Action
115,s116,Movie,Rushmore,,,,1-Oct-21,1998,R,93 min,"Comedy, Teen",An overachieving prep-school youth wages war for the affections of a pretty teacher in this Wes Anderson comedy.,hulu,79.0,tt0128445,Comedy
117,s118,Movie,Signs,,,,1-Oct-21,2002,PG-13,107 min,"Horror, Science Fiction, Thriller",Unexplained crop circles foreshadow frightening events for a Farmer (Mel Gibson) and his family.,hulu,67.0,tt0286106,Horror
118,s119,Movie,Sleepless in Seattle,,,,1-Oct-21,1993,PG,105 min,"Comedy, Romance",A man's son calls into a radio show to find his widowed father a new wife.,hulu,71.0,tt0108160,Comedy
119,s120,Movie,Snatch,,,,1-Oct-21,2000,R,103 min,"Action, Adventure, Comedy","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond in this crime comedy.",hulu,74.0,tt0208092,Action
120,s121,Movie,Species,,,,1-Oct-21,1995,R,109 min,"Horror, Science Fiction, Thriller",A gorgeous human/alien mutant escapes and goes on a bloody rampage of mating and murder in this gripping sci-fi thriller.,hulu,50.0,tt0114508,Horror
121,s122,Movie,Species II,,,,1-Oct-21,1998,R,93 min,"Action, Adventure, Horror",An astronaut returns from Mars carrying deadly alien DNA that spawns bloodthirsty mutants in this scary sequel.,hulu,34.0,tt0120841,Action
122,s123,Movie,Species III,,,,1-Oct-21,2004,R,112 min,"Action, Adventure, Drama","In the ongoing fight for supremacy between mankind and the human-alien hybrids, a fatal hybrid weakness has given humans the advantage.",hulu,36.0,tt0410650,Action
123,s124,Movie,Species: The Awakening,,,,1-Oct-21,2007,TV-MA,98 min,"Science Fiction, Thriller",A college professor discovers she's actually a human/alien hybrid whose monstrous side begins to emerge in this fourth 'Species' film.,hulu,33.0,tt0844894,Science Fiction
124,s125,Movie,Star Trek II: The Wrath of Khan,,,United States,1-Oct-21,1982,PG,113 min,"Action, Adventure, Classics","Admiral James T. Kirk is still in charge of a space fleet, but from behind a desk. Dr. McCoy and Mr. Spock convince him to take on a mission which sounds simple, but with the mysterious Khan, things get a little tricky.",hulu,78.0,tt0084726,Action
125,s126,Movie,Star Trek III: The Search for Spock,,,United States,1-Oct-21,1984,PG,105 min,"Action, Adventure, Family","Admiral Kirk's defeat of Khan and the creation of the Genesis planet are empty victories. Spock is dead and McCoy is inexplicably being driven insane. Then a visit from Sarek, Spock's father, provides a startling revelation.",hulu,67.0,tt0088170,Action
126,s127,Movie,Star Trek IV: The Voyage Home,,,,1-Oct-21,1986,PG,119 min,"Action, Adventure, Family","It's the 23rd century and a mysterious power is threatening Earth by evaporating the oceans and destroying the atmosphere. To save mankind, Capt. Kirk and the rest of the Starship Enterprise crew travel back in time to 1986 San Francisco. In HD.",hulu,77.0,tt0092007,Action
127,s128,Movie,Star Trek V: The Final Frontier,,,United States,1-Oct-21,1989,PG,106 min,"Action, Adventure, Family","In this classic movie spin off from the TV series, Captain Kirk and his crew must deal with Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy. Stars William Shatner and Leonard Nimoy.",hulu,45.0,tt0098382,Action
128,s129,Movie,Star Trek VI: The Undiscovered Country,,,United States,1-Oct-21,1991,PG,110 min,"Action, Adventure, Family",The crews of the Enterprise and the Excelsior must stop a plot to prevent a peace treaty between the Klingon Empire and the Federation.,hulu,74.0,tt0102975,Action
130,s131,Movie,Star Trek: Generations,,,,1-Oct-21,1994,PG,118 min,"Action, Adventure, Family",Capt. Kirk and Capt. Picard team up to thwart mad Dr. Soran's quest for the Nexus of joy.,hulu,59.0,tt0111280,Action
131,s132,Movie,Star Trek: Insurrection,,,United States,1-Oct-21,1998,PG,103 min,"Action, Adventure, Family","When the crew of the Enterprise learn of the federation plot against the inhabitants of a unique planet, Capt. Picard begins an open rebellion.",hulu,58.0,tt0120844,Action
132,s133,Movie,Star Trek: Nemesis,,,,1-Oct-21,2002,PG-13,117 min,"Action, Adventure, Science Fiction",Capt. Jean-Luc Picard meets his match in a Reman rebel leader who is his evil clone in this thrilling 'Star Trek' adventure.,hulu,54.0,tt0253754,Action
133,s134,Movie,Star Trek: The Motion Picture,,,United States,1-Oct-21,1979,PG,130 min,"Action, Adventure, Family","This first Star Trek film reunites the U.S.S. Enterprise's original crew. Capt. James T. Kirk now an admiral, and his crew must save humanity from an alien ship steadily approaching Earth and destroying everything in its path.",hulu,60.0,tt0079945,Action
134,s135,TV Show,Station 19,,,United States,1-Oct-21,2018,TV-14,5 Seasons,"Action, Drama","In Seattle, all firefighters are also trained EMTs and the crew at Station 19 is second to none. Working in 24-hour shifts, these professionals spend so much time together that they build relationships, unlike any others.",hulu,66.0,tt7053188,Action
135,s136,Movie,Sweet Home Alabama,,,,1-Oct-21,2002,TV-14,104 min,"Comedy, Romance",A fashion designer (Reese Witherspoon) demands a divorce from her husband (Josh Lucas).,hulu,61.0,tt0256415,Comedy
136,s137,Movie,Sweet Land,,,,1-Oct-21,2005,PG,111 min,"Drama, Romance","At her husband's funeral, a woman retells her life story to her grandson going back to her arrival from Germany in 1920 to a pre-arranged marriage with a Norwegian farmer in rural Minnesota.",hulu,55.0,tt0428038,Drama
137,s138,Movie,The Extreme Adventures of Super Dave,,,,1-Oct-21,2000,PG,91 min,Comedy,A klutzy but legendary stuntman named Super Dave comes out of retirement to help raise money for a heart operation for his girlfriend's son.,hulu,8.0,tt0144096,Comedy
138,s139,Movie,The Holiday,,,,1-Oct-21,2006,PG-13,136 min,"Comedy, Drama, Romance",From writer/director Nancy Meyers comes a romantic comedy about two women on opposite sides of the globe who swap houses only to discover that a change of address can really change their lives.,hulu,66.0,tt0457939,Comedy
139,s140,Movie,The Hunger Games,,,,1-Oct-21,2012,TV-14,181 min,"Action, Adventure, Science Fiction","Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.",hulu,74.0,tt1392170,Action
140,s141,Movie,The Hunger Games: Catching Fire,,,,1-Oct-21,2013,TV-14,182 min,"Action, Adventure, Science Fiction","After arriving safely home from their unprecedented victory in the 74th Annual Hunger Games, Katniss and Peeta discover they must do a quick turnaround and begin a Victors Tour.",hulu,78.0,tt1951264,Action
143,s144,Movie,The Mask of Zorro,,,,1-Oct-21,1998,PG-13,138 min,"Action, Adventure","When a power-crazed despot schemes to buy California from Mexico, it takes two Zorros - the legendary Don Diego de la Vega (Anthony Hopkins) and his successor Alejandro Murrieta (Antonio Banderas) - to defeat the tyrant's unscrupulous plans.",hulu,70.0,tt0120746,Action
145,s146,Movie,The Perfect Holiday,,,,1-Oct-21,2007,PG,96 min,"Comedy, Drama, Family",Romance blooms when a little girl asks a department-store Santa (Morris Chestnut) to fulfill her divorced mother's (Gabrielle Union) fondest wish for Christmas.,hulu,49.0,tt0841032,Comedy
146,s147,Movie,The Recruit,,,,1-Oct-21,2003,PG-13,115 min,"Action, Thriller",Twist-filled thriller about a CIA agent who takes a young trainee under his wing and tasks him with rooting out a mole in the agency.,hulu,59.0,tt0292506,Action
147,s148,Movie,The Rocky Horror Picture Show,,,,1-Oct-21,1975,R,99 min,"Comedy, Music",A newly engaged couple break down and spend the night at the mansion home of Dr. Frank-N-Furter.,hulu,74.0,tt0073629,Comedy
148,s149,Movie,The Saint,,,United States,1-Oct-21,1997,PG-13,116 min,"Action, Adventure, Drama","Want someone to infiltrate a top-secret organiz ation or steal a scientific formula that could change the world? For the right price, The Saint's your man.",hulu,54.0,tt0120053,Action
149,s150,Movie,The Spy Who Loved Me,,,United Kingdom,1-Oct-21,1977,PG,126 min,"Action, Adventure","When British and Russian subs start vanishing, 007 teams up with Russia’s top spy to do battle with a menacing, steel-toothed, 7’2” henchman, Jaws, and thwart archvillain Karl Stromberg’s plans for destroying the world with nuclear bombs.",hulu,70.0,tt0076752,Action
